DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
45327	234	16	250	302700	0
45560	266	31	281	302862	0

45810	283	32	284	303096	0
45979	203	16	187	302997	0
46181	235	31	250	302997	0
46398	250	31	250	303078	0
46613	250	33	252	303564	0

46802	221	31	219	303096	0
47019	250	32	251	302718	0
47220	235	15	218	302430	0
47437	250	15	250	302871	0

47639	234	31	250	303114	0
47842	237	15	221	302997	0
48059	250	15	250	303375	0
48260	234	32	251	302853	0

48460	235	16	219	302889	0
48678	250	16	250	303222	0
48882	237	31	252	303240	0
49100	252	15	236	303069	0
49301	234	31	250	302916	0

49503	235	15	219	302646	0
49717	249	16	250	302835	0
49920	235	31	250	302907	0
50121	234	16	219	302439	0

50336	250	16	250	302502	0
50539	235	31	250	302826	0
50740	234	16	219	303240	0
50956	250	16	250	303654	0

51157	234	32	250	303447	0
51374	250	32	250	303357	0
51575	235	15	218	303150	0
51792	250	15	250	302772	0

51992	234	31	250	303141	0
52196	237	16	222	303204	0
52398	235	31	250	303123	0
52615	250	31	250	303267	0
52813	234	16	219	302925	0

53032	250	16	250	303132	0
53233	234	32	250	302925	0
53450	251	31	250	302772	0
53651	234	16	219	303159	0

53854	237	31	252	302547	0
54054	234	16	219	303159	0
54272	250	16	250	303195	0
54472	234	32	250	303213	0

54675	236	16	220	302817	0
54892	250	18	252	302700	0
55095	237	31	250	302673	0
55312	250	31	250	302574	0

55512	234	16	219	303051	0
55714	235	31	250	302808	0
55932	252	31	252	302529	0
56134	234	16	219	302736	0

56336	235	31	250	302970	0
56541	239	0	208	302430	0
56758	250	0	250	302736	0
56963	238	15	253	302574	0
57163	234	31	250	302331	0

57368	238	15	222	302484	0
57570	235	32	252	302439	0
57786	250	0	218	303330	0
58003	250	0	250	302970	0

58204	235	15	250	302970	0
58405	234	32	251	303321	0
58622	250	0	218	303483	0
58824	235	15	250	303006	0

59040	250	15	250	303150	0
59243	236	32	253	303618	0
59446	236	15	219	302763	0
59648	236	32	253	303249	0

59866	251	32	251	303276	0
60068	235	15	218	303420	0
60284	250	15	250	303348	0
60485	234	31	250	303042	0

60685	234	16	219	303321	0
60902	250	16	250	303456	0
61103	235	31	250	303393	0
61320	250	31	250	303015	0
61520	234	16	219	303042	0

62190	703	32	719	302979	0
62129	238	15	221	302781	0
62127	31	16	32	303213	0

62501	441	16	441	302844	0
62704	236	31	251	302970	1
62785	15	47	31	302412	0
62795	110	31	94	303042	0

63444	750	31	750	302097	0
63590	78	16	63	302835	0
63554	64	16	64	302592	0
63700	79	0	63	302925	0

64055	455	15	470	302871	0
64412	424	31	440	302988	0
64517	172	15	156	303465	0
64597	47	0	32	303429	0
64726	62	0	62	303420	0

65195	703	16	719	302979	0
65354	125	16	125	303573	0
65516	96	16	96	303168	0
65592	109	35	128	303366	0

66031	538	32	535	303114	0
66087	157	31	156	302952	0
66497	344	31	344	303510	0
66460	62	31	62	303564	0

66667	141	15	125	303114	0
67083	515	0	500	302952	0
67359	376	31	407	303204	0

67486	94	31	94	303573	1
67535	15	47	31	303195	0
68045	610	31	594	303114	0
68120	109	16	94	303474	0
68321	267	31	282	303870	0

68559	205	15	189	303492	0
68506	47	31	63	303663	0
68976	437	0	406	303348	0
69173	297	15	312	303636	0

69269	62	16	63	303726	0
69546	377	16	377	303546	0
69814	235	31	250	303357	0
69872	125	0	94	303528	0

70339	500	31	531	303546	0
70363	125	31	125	303564	0
70586	156	31	156	303411	0
70760	208	0	177	303339	0
70928	234	16	250	303069	0

71317	422	0	406	303366	0
71562	312	32	344	302925	0
71799	204	15	187	303186	1
71747	15	32	32	302844	0
71777	63	0	31	302988	0

72348	703	16	719	303438	0
72603	156	16	156	303411	0
72679	110	31	125	303276	1
72661	15	47	31	303168	0

73206	611	31	595	303420	0
73247	141	15	125	303555	0
73642	328	0	313	303285	0

73656	47	15	62	303087	0
73682	93	16	94	302916	0
74419	770	31	785	303222	0
74446	94	31	94	303204	0
74443	31	31	31	302898	1

74526	16	47	32	303132	0
75190	797	31	781	303006	1
75238	15	47	31	303231	0
75250	78	32	63	302700	0

75529	313	32	313	303438	0
75981	518	17	503	303213	0
76088	142	31	156	303528	1
76171	15	47	31	302709	1
76103	32	46	31	303492	0

76750	781	16	751	302907	0
76909	126	15	125	303456	0
76992	15	31	31	303168	0
77004	47	16	32	303411	0

117605	734	32	750	302907	0
117635	63	31	62	302961	0
117827	126	32	127	302970	0
117759	32	31	31	303276	0

118476	816	31	816	303294	0
118620	78	15	62	303501	0
