UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

09.38.26.169	0	2.95275590551181	2.24071653543307	156	199	0.5	0.8	0	0
09.38.27.185	0	0.984251968503937	0.749007874015748	483.25	397.25	0.5	0.8	0	0
09.38.28.201	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.29.217	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.30.233	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.31.249	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.32.264	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.33.280	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.34.296	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.35.312	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.36.327	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.37.343	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.38.359	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.39.374	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.40.390	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.41.406	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.42.421	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.43.437	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.44.453	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.45.468	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.46.484	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.47.500	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.48.515	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.49.531	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.50.546	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.51.565	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.52.581	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.53.596	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.54.617	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.55.633	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.56.653	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.57.669	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.58.684	0	0	0	483.25	397.25	0.5	0.8	0	0
09.38.59.700	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.00.716	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.01.731	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.02.747	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.03.762	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.04.778	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.05.794	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.06.809	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.07.825	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.08.841	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.09.856	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.10.872	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.11.888	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.12.903	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.13.919	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.14.935	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.15.950	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.16.966	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.17.982	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.18.997	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.20.013	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.21.029	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.22.044	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.23.064	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.24.080	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.25.095	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.26.111	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.27.127	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.28.142	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.29.158	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.30.174	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.31.189	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.32.205	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.33.221	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.34.241	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.35.257	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.36.273	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.37.288	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.38.304	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.39.320	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.40.335	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.41.355	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.42.374	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.43.390	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.44.406	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.45.421	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.46.437	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.47.454	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.48.470	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.49.487	0	0	0	483.25	397.25	0.5	0.8	0	0
09.39.50.503	0	0	0	483.25	397.25	0.5	0.8	0	0
