UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

09.55.25.670	7	0.984251968503937	0.978330708661417	110	220	0.5	0	0	0
09.55.26.685	7	7.8740157480315	7.81729133858268	1126.4296875	812.583333333333	0.5	0	0	0
09.55.27.702	7	11.7994100294985	11.7294159292035	1702.4246673584	1110.85714285714	0.5	0	0	0
09.55.28.722	7	8.82352941176471	8.77651764705882	2499.55356380343	1467.7	0.5	0	0	0
09.55.29.740	7	10.8055009823183	10.7157406679764	3211.24196951358	1867.56097560976	0.5	0	0	0
09.55.30.756	7	8.85826771653543	8.79625984251969	3950.16045946521	2280.28301886792	0.5	0	0	0
09.55.31.776	7	9.80392156862745	9.74190588235294	4511.28578304479	2552.11475409836	0.5	0	0	6000
09.55.32.792	7	9.84251968503937	9.80570078740157	5251.05726844875	2928.73611111111	0.5	0	0	6000
09.55.33.813	7	7.83545543584721	7.81208227228208	5872.49224342622	3262.15853658537	0.5	0	0	6000
09.55.34.835	7	10.7632093933464	10.88585518591	6553.55126195647	3594.19565217391	0.5	0.05	0	6000
09.55.35.852	7	9.83284169124877	10.0483775811209	7303.40847229588	4065.77	0.5	0.1	0	6000
09.55.36.871	7	8.83218842001963	9.05080274779195	7934.20001654745	4677.47	0.5	0.15	0	6000
09.55.37.891	7	8.82352941176471	9.04729411764706	8614.68183595366	5359.41	0.5	0.2	0	6000
09.55.38.907	7	8.85826771653543	9.08411811023622	9306.03289241792	6025.46	0.5	0.25	0	6000
09.55.39.931	7	9.765625	9.99740625	9988.932649309	6693.71	0.5	0.3	0	6000
09.55.40.954	7	8.79765395894428	8.96952492668622	10679.3290357903	7369.49	0.5	0.35	0	6000
09.55.41.970	7	10.8267716535433	10.9098897637795	11421.6920551933	8112.73	0.5	0.4	0	6000
09.55.42.993	7	9.78473581213307	9.82668493150685	12090.6696211477	8787.2	0.5	0.45	0	6000
09.55.44.016	7	9.77517106549365	9.82897360703812	12769.2447945519	9468.48	0.5	0.5000001	0	6000
09.55.45.038	7	9.78473581213307	9.79913894324853	13438.5422312447	10150.42	0.5	0.5500001	0	6000
09.55.46.056	7	9.8135426889107	9.78022374877331	14096.3520920227	10830.66	0.5	0.6000001	0	6000
09.55.47.075	7	9.8135426889107	9.80438861629048	14813.1945078574	11574.2	0.5	0.6500001	0	6000
09.55.48.095	7	9.80392156862745	9.7664705882353	15477.3771430741	12247.36	0.5	0.7000001	0	6000
09.55.49.116	7	10.7737512242899	10.7334064642507	16286.8333761163	12928.16	0.5	0.7500001	0	6000
09.55.50.132	7	11.8110236220472	11.7362125984252	16930.7049154064	13610.5	0.5	0.8000001	0	6000
09.55.51.148	7	7.8740157480315	7.83677952755906	17451.8933785758	14154.73	0.5	0.8500001	0	6000
09.55.52.165	7	9.83284169124877	9.78763421828909	18184.89887372	14902.07	0.5	0.9000002	0	6000
09.55.53.187	7	9.78473581213307	9.72967514677104	19006.7133542172	15717.68	0.5	0.95	0	6000
09.55.54.203	7	10.8267716535433	10.7769448818898	19533.3191927899	16261.95	0.5	0.95	0	6000
09.55.55.219	7	9.84251968503937	9.79287401574803	20251.3274601492	16944.6	0.5	0.95	0	6000
09.55.56.235	7	9.84251968503937	9.79507086614173	21009.0455700489	17693.18	0.5	0.95	0	6000
09.55.57.254	7	9.8135426889107	9.76489106967615	21649.1338335645	18378.08	0.5	0.95	0	6000
09.55.58.269	7	9.84251968503937	9.80265354330709	22220.5217457687	18992.57	0.5	0.95	0	6000
09.55.59.286	7	10.8161258603736	10.7654985250737	22978.1223250712	19736.21	0.5	0.95	0	6000
09.56.00.302	7	8.85826771653543	8.82155905511811	23539.9514107912	20339.89	0.5	0.95	0	6000
09.56.01.322	7	11.7647058823529	11.7231529411765	24369.0610232937	21144.95	0.5	0.95	0	6000
09.56.02.338	7	8.85826771653543	8.84097637795275	25008.7696504361	21749.39	0.5	0.95	0	6000
09.56.03.354	7	10.8267716535433	10.7743937007874	25684.7410984621	22485.62	0.5	0.95	0	6000
09.56.04.371	7	8.84086444007859	8.78477799607073	26371.696036229	23151.99	0.5	0.95	0	6000
09.56.05.387	7	9.84251968503937	9.80095275590551	26939.4955000708	23749.49	0.5	0.95	0	6000
09.56.06.403	7	10.8267716535433	10.7807716535433	27793.2673944702	24614.52	0.5	0.95	0	6000
09.56.07.419	7	10.8161258603736	10.784401179941	28436.0141941298	25212.09	0.5	0.95	0	6000
09.56.08.435	7	9.84251968503937	9.81930708661417	29078.9316544865	25876.18	0.5	0.95	0	6000
09.56.09.456	7	8.82352941176471	8.79127058823529	29747.8212223188	26540.28	0.5	0.95	0	6000
09.56.10.473	7	9.82318271119843	9.79739882121807	30387.2459191624	27201.75	0.5	0.95	0	6000
09.56.11.492	7	8.84086444007859	8.82565815324165	31214.2527455857	28000.42	0.5	0.95	0	6000
09.56.12.509	7	10.8161258603736	10.7846135693215	31761.1259872874	28531.51	0.5	0.95	0	6000
09.56.13.525	7	10.8267716535433	10.7855196850394	32512.2597963836	29330.1	0.5	0.95	0	6000
09.56.14.546	7	4.90196078431373	4.88545882352941	33075.8213273296	29862.21	0.5	0.95	0	6000
09.56.15.562	7	7.8740157480315	7.84932283464567	26225.0852395599	29814.85	0.5	0.95	0	6000
09.56.16.579	7	9.83284169124877	9.7962005899705	25712.9004738668	29665.45	0.5	0.95	0	6000
09.56.17.598	7	10.7948969578018	10.7584298331698	25891.997509997	29413.39	0.5	0.95	0	6000
09.56.18.621	7	9.78473581213307	9.74721722113503	25003.5722631934	29055	0.5	0.95	0	6000
09.56.19.639	7	9.82318271119843	9.78544597249509	24877.0396213508	28602.35	0.5	0.95	0	6000
09.56.20.658	7	9.8135426889107	9.7690598626104	25218.4570699427	28093.52	0.5	0.95	0	6000
09.56.21.674	7	9.84251968503937	9.78734645669291	25335.0697822949	27547.39	0.5	0.95	0	6000
09.56.22.694	7	10.7948969578018	10.5473052011776	7416.96100564677	25577.07	0.5	0.95	0	6000
09.56.23.710	7	2.95275590551181	2.85675590551181	1613.18628142646	24084.2	0.5	0.9	0	6000
09.56.24.730	7	3.92541707556428	3.8021040235525	193.255821294577	22476.61	0.5	0.85	0	6000
09.56.25.748	7	5.89390962671906	5.71643222003929	213.957122207728	20528.61	0.5	0.8	0	6000
09.56.26.767	7	5.88812561334642	5.71280078508341	112.717410068991	18884.46	0.5	0.7499999	0	6000
09.56.27.785	7	4.91642084562439	4.77201179941003	226.558084532328	17323.16	0.5	0.6999999	0	6000
09.56.28.803	7	9.8135426889107	9.51702453385672	224.068586267704	15253.98	0.5	0.6499999	0	6000
09.56.29.821	7	7.86627335299902	7.62362241887906	170.742723330216	13469.86	0.5	0.5999999	0	6000
09.56.30.836	7	5.90551181102362	5.73611811023622	563.694810006504	11189.77	0.5	0.5499999	0	6000
09.56.31.852	7	0	0	563.694810006504	11189.77	0.5	0.4999999	0	6000
09.56.32.871	7	0	0	563.694810006504	11189.77	0.5	0.4499999	0	6000
09.56.33.890	7	0	0	563.694810006504	11189.77	0.5	0.3999999	0	6000
