FPS_Client	Mbps_Client	FPS_Total	FPS_Display	Mbps_Total	UTC	Offset

0	0	0	09.50.24.659	7
0	0	0	09.50.25.674	7
0	0	0	09.50.26.682	7
0	0	0	09.50.27.702	7
0	0	0	09.50.28.723	7
0	0	0	09.50.29.729	7
0	0	0	09.50.30.744	7
0	0	0	09.50.31.760	7
0	0	0	09.50.32.776	7
0	0	0	09.50.33.783	7
0	0	0	09.50.34.799	7
0	0	0	09.50.35.814	7
0	0	0	09.50.36.830	7
0	0	0	09.50.37.845	7
0	0	0	09.50.38.863	7
0	0	0	09.50.39.878	7
0	0	0	09.50.40.895	7
0	0	0	09.50.41.910	7
0	0	0	09.50.42.925	7
0	0	0	09.50.43.941	7
0	0	0	09.50.44.957	7
0	0	0	09.50.45.972	7
0	0	0	09.50.46.988	7
0	0	0	09.50.48.003	7
0	0	0	09.50.49.019	7
3.93	4.73	0.98	1.2	0.98	1.21	0.98	1.22	0.98	1.22	7.86	0	9.58	09.50.50.036	7
0.99	1.17	1.97	2.3	1.97	2.3	2.96	3.44	2.96	3.45	10.84	0	12.66	09.50.51.052	7
0	0	1.97	2.18	1.97	2.2	1.97	2.15	1.97	2.16	7.87	0	8.69	09.50.52.068	7
0.98	1.09	1.97	2.18	1.97	2.16	0.98	1.09	1.97	2.18	7.87	0	8.7	09.50.53.084	7
6.89	7.79	0	0	0	0	0	0	0	0	6.89	0	7.79	09.50.54.100	7
9.78	10.36	0	0	0	0	0	0	0	0	9.78	0	10.36	09.50.55.123	7
9.79	10.07	0	0	0	0	0	0	0	0	9.79	0	10.07	09.50.56.144	7
7.87	7.82	0.98	0.99	0	0	0.98	0.99	0.98	0.98	10.83	0	10.78	09.50.57.160	7
0	0	1.97	1.99	2.95	2.96	2.95	2.98	2.95	2.97	10.82	0	10.9	09.50.58.177	7
0	0	1.97	1.98	1.97	1.98	1.97	1.98	1.97	1.98	7.87	0	7.92	09.50.59.192	7
0	0	2.95	2.98	2.95	2.97	1.97	1.99	2.95	2.97	10.83	0	10.91	09.51.00.208	7
0	0	1.97	1.96	2.95	2.95	2.95	2.95	1.97	1.97	9.84	0	9.83	09.51.01.223	7
1.97	1.97	1.97	1.96	1.97	1.97	1.97	1.98	1.97	1.97	9.84	0	9.85	09.51.02.240	7
7.87	7.88	0	0	0	0	0	0	0	0	7.87	0	7.88	09.51.03.256	7
9.84	9.86	0	0	0	0	0	0	0	0	9.84	0	9.86	09.51.04.271	7
9.78	9.8	0	0	0	0	0	0	0	0	9.78	0	9.8	09.51.05.294	7
9.84	9.85	0	0	0	0	0	0	0	0	9.84	0	9.85	09.51.06.309	7
9.81	9.8	0	0	0	0	0	0	0	0	9.81	0	9.8	09.51.07.328	7
9.83	9.83	0	0	0	0	0	0	0	0	9.83	0	9.83	09.51.08.345	7
0	0	2.95	2.95	2.95	2.96	2.95	2.95	2.95	2.95	11.81	0	11.81	09.51.09.361	7
0	0	1.97	1.97	1.97	1.97	2.95	2.96	2.95	2.96	9.84	0	9.86	09.51.10.376	7
0	0	2.94	2.94	2.94	2.94	1.96	1.96	1.96	1.97	9.8	0	9.81	09.51.11.397	7
0	0	1.97	1.97	1.97	1.97	1.97	1.97	2.95	2.96	8.86	0	8.87	09.51.12.412	7
0	0	2.95	2.95	2.95	2.96	2.95	2.95	1.96	1.96	10.81	0	10.82	09.51.13.431	7
0	0	1.97	1.97	1.97	1.97	1.97	1.97	2.95	2.96	8.86	0	8.87	09.51.14.446	7
0	0	2.95	2.95	2.95	2.96	2.95	2.96	1.97	1.97	10.83	0	10.84	09.51.15.462	7
0	0	1.97	1.97	1.97	1.97	1.97	1.97	2.95	2.96	8.86	0	8.87	09.51.16.478	7
6.87	6.89	0	0	0.98	0.98	0.98	0.98	0.98	0.98	9.81	0	9.83	09.51.17.497	7
9.8	9.82	0	0	0	0	0	0	0	0	9.8	0	9.82	09.51.18.516	7
9.79	9.81	0	0	0	0	0	0	0	0	9.79	0	9.81	09.51.19.538	7
9.84	9.86	0	0	0	0	0	0	0	0	9.84	0	9.86	09.51.20.554	7
9.82	9.85	0	0	0	0	0	0	0	0	9.82	0	9.85	09.51.21.572	7
9.8	9.82	0	0	0	0	0	0	0	0	9.8	0	9.82	09.51.22.591	7
9.81	9.85	0	0	0	0	0	0	0	0	9.81	0	9.85	09.51.23.611	7
9.8	9.96	0	0	0	0	0	0	0	0	9.8	0	9.96	09.51.24.631	7
9.78	10	0	0	0	0	0	0	0	0	9.78	0	10	09.51.25.652	7
9.81	9.82	0	0	0	0	0	0	0	0	9.81	0	9.82	09.51.26.672	7
5.91	5.9	0.98	0.99	0.98	0.98	0.98	0.99	0.98	0.98	9.84	0	9.84	09.51.27.688	7
0.98	0.98	1.96	1.94	2.93	2.92	2.93	2.92	2.93	2.92	11.73	0	11.68	09.51.28.711	7
0	0	2.96	2.96	1.98	1.96	2.96	2.96	2.96	2.96	10.87	0	10.84	09.51.29.723	7
0	0	1.97	1.96	2.95	2.94	1.97	1.97	1.97	1.96	8.85	0	8.83	09.51.30.740	7
0	0	2.95	2.94	1.97	1.96	1.97	1.97	2.95	2.94	9.84	0	9.81	09.51.31.756	7
0	0	1.97	1.97	2.95	2.95	2.95	2.94	1.97	1.96	9.84	0	9.82	09.51.32.771	7
5.9	5.88	0.98	0.98	0	0	0	0	1.97	1.96	8.85	0	8.82	09.51.33.788	7
9.84	9.83	0	0	0	0	0	0	0	0	9.84	0	9.83	09.51.34.803	7
