DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
5974	93	16	94	125741	0	50631	48000
6035	94	16	94	125435	0	50631	48000
6077	109	16	109	124769	0	50631	48000

6102	125	16	125	124949	0	50631	48000
6080	78	16	78	125381	0	50631	48000
6157	110	16	110	124715	0	50631	48000
6119	94	15	93	125651	0	50631	48000
6194	110	15	110	125480	0	50631	48000
6270	109	16	110	125084	0	50631	48000
6231	94	16	94	124886	0	50631	48000
6260	96	15	95	124670	0	50631	48000
6336	109	16	110	124688	0	50631	48000
6379	110	15	109	124013	0	50631	48000

6440	93	16	94	124949	0	50631	48000
6434	94	16	94	124940	0	50631	48000
6509	109	16	109	124427	0	50631	48000
6469	94	16	94	124472	0	50631	48000
6447	110	15	109	125165	0	50631	48000
6506	93	16	94	124841	0	50631	48000
6567	95	15	94	124841	0	50631	48000
6610	110	15	110	124769	0	50631	48000
6670	93	16	94	125579	0	50631	48000
6747	110	15	109	125111	0	50631	48000

6774	94	15	94	124895	0	50631	48000
6734	93	16	94	124535	0	50631	48000
6748	313	15	312	125057	0	50631	48000
6819	172	16	173	125084	1	50635	48004
6752	0	32	16	125318	1	50633	48002
6801	16	31	15	124679	1	50634	48003
6751	16	31	16	125102	0	50632	48001
7076	359	16	344	125129	0	50635	48004
7027	16	15	15	124886	1	50634	48003
6959	0	31	16	124868	0	50633	48002

6858	31	15	15	124940	0	50632	48001
6967	344	15	344	125021	0	50635	48004
6850	15	16	16	124850	0	50634	48003
6713	31	16	31	125660	0	50633	48002
6676	63	16	63	125192	0	50632	48001
6846	203	16	203	125138	0	50635	48004
6810	31	16	31	125462	0	50634	48003
7013	235	15	234	125039	0	50633	48002
6877	31	16	32	125048	0	50632	48001
6727	16	15	15	124985	0	50635	48004

6786	93	16	94	125201	0	50634	48003
6791	172	16	172	125327	0	50635	48004
6986	94	16	94	125129	0	50633	48002
6899	47	15	46	124805	0	50634	48003
6980	15	16	16	125363	0	50632	48001
6834	286	15	285	125291	0	50635	48004
6997	63	15	63	124859	0	50633	48002
6877	15	16	16	124481	0	50634	48003
7010	32	15	31	125336	0	50632	48001

7172	296	16	297	125219	0	50633	48002
7088	16	16	16	125345	0	50635	48004
7202	47	16	47	124886	0	50632	48001
7254	219	15	218	125120	0	50633	48002
7283	62	16	63	125174	0	50632	48001
7279	63	15	62	125318	0	50635	48004
7427	15	16	16	125363	0	50634	48003
7540	313	15	312	124886	1	50633	48002
7440	0	31	16	124922	0	50632	48001
7668	94	15	78	124724	0	50634	48003
7417	15	16	16	125147	0	50635	48004

7697	313	15	312	125219	0	50634	48003
7645	15	16	16	125516	0	50633	48002
7702	125	16	125	125273	0	50632	48001
7615	78	16	78	124877	0	50635	48004
7657	110	15	109	124769	0	50634	48003
7667	109	18	112	125246	0	50633	48002
7697	97	15	94	125174	0	50632	48001
7803	140	16	141	124472	0	50635	48004
7715	79	15	78	125147	0	50633	48002
7864	15	16	16	125111	0	50634	48003
7661	63	15	62	125282	0	50632	48001

7705	312	16	313	125786	1	50633	48002
7773	0	31	15	125255	0	50635	48004
7671	31	16	16	125534	0	50632	48001
7817	47	16	47	124904	0	50634	48003
7887	203	16	203	125111	0	50635	48004
8024	204	15	203	124967	0	50633	48002
8073	15	16	16	124832	0	50634	48003
8002	63	15	62	124778	1	50635	48004
8036	0	31	16	124841	0	50632	48001

8217	281	16	266	125228	0	50634	48003
8179	62	16	62	124652	0	50633	48002
7990	79	15	78	125354	1	50632	48001
7724	0	31	16	125462	0	50635	48004
7842	219	15	203	125489	0	50633	48002
7924	47	15	47	125822	0	50634	48003
7870	46	16	47	125399	0	50632	48001
8038	235	15	234	125552	0	50635	48004
7998	94	15	94	125408	1	50633	48002
