DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
208	0	11	0	402509	0	53609	48003
233	13	10	12	401789	0	53610	48004
285	98	4	92	402716	0	53608	48002
298	47	3	46	402455	0	53607	48001
286	20	7	24	402914	0	53606	48000
480	228	3	224	402770	0	53606	48000
476	62	10	69	402806	0	53610	48004
493	52	7	49	402437	0	53609	48003
472	12	4	9	403004	0	53608	48002
452	13	7	16	403319	0	53607	48001
606	20	8	21	402644	0	53606	48000
504	66	3	61	403418	0	53610	48004
499	95	5	97	403436	0	53606	48000

581	15	10	20	403526	0	53609	48003
568	87	2	79	402869	0	53606	48000
662	27	4	29	403436	0	53609	48003
630	68	2	66	403940	0	53606	48000
647	51	5	54	403481	0	53606	48000
674	59	4	58	403445	0	53606	48000
687	46	7	49	403994	0	53606	48000
712	60	1	54	403598	0	53606	48000
730	51	4	54	403148	0	53606	48000
898	335	3	334	403670	0	53607	48001
1041	8	4	9	403940	0	53606	48000
1014	8	4	8	403805	0	53610	48004
1013	31	7	34	403859	0	53609	48003
950	70	1	64	403598	0	53609	48003
1057	7	7	13	403823	0	53608	48002
1040	51	5	49	403607	0	53610	48004
981	8	7	10	404129	0	53608	48002

1017	69	9	71	404129	0	53607	48001
1057	107	5	103	403463	0	53609	48003
1183	91	10	96	403886	0	53610	48004
1117	35	4	29	404066	0	53607	48001
1041	58	4	58	403364	0	53607	48001
1212	103	5	104	403337	0	53609	48003
1318	7	8	10	404021	0	53608	48002
1314	63	1	56	404183	0	53610	48004
1275	94	5	98	403796	0	53610	48004
1288	46	4	45	403373	0	53609	48003
1397	9	7	12	403544	0	53608	48002
1275	44	7	44	403319	0	53607	48001
1340	132	9	134	403751	0	53607	48001
1389	83	8	82	403859	0	53606	48000
1515	59	6	57	403706	0	53609	48003
1588	7	9	10	403526	0	53608	48002

1469	46	2	39	403301	0	53606	48000
1501	66	1	65	403472	0	53606	48000
1518	50	10	59	404066	0	53606	48000
1537	52	7	49	403652	0	53606	48000
1554	51	10	54	403796	0	53606	48000
1583	62	7	59	403958	0	53606	48000
1617	67	3	63	403877	0	53606	48000
1645	63	3	63	403832	0	53606	48000
1675	62	7	66	403787	0	53606	48000
1683	41	2	36	403265	0	53606	48000
1703	55	7	60	403418	0	53606	48000
1729	58	7	58	403652	0	53606	48000
1758	62	6	61	403625	0	53606	48000
1786	63	7	64	403661	0	53606	48000
1813	59	10	62	403787	0	53606	48000
1830	50	9	49	403175	0	53606	48000
1847	51	6	48	404111	0	53606	48000
1866	51	9	54	403157	0	53606	48000

1896	64	7	62	403742	0	53606	48000
1916	53	6	52	403787	0	53606	48000
1944	61	3	58	403454	0	53606	48000
1945	35	2	34	403031	0	53606	48000
1947	36	9	43	403049	0	53606	48000
1969	55	8	54	403175	0	53606	48000
1996	60	11	63	403472	0	53606	48000
2016	55	6	50	403508	0	53606	48000
2008	92	4	90	403679	0	53610	48004
1969	61	7	64	402563	0	53609	48003
1988	51	3	47	403634	0	53608	48002
1966	44	5	46	403229	0	53607	48001
2272	40	8	43	402995	0	53606	48000
1775	70	6	68	403139	0	53607	48001
2394	85	4	83	403148	0	53606	48000
2120	26	4	26	403094	0	53610	48004
2124	38	9	43	403274	0	53609	48003
2171	80	7	78	402932	0	53608	48002

1856	53	9	55	403526	0	53607	48001
2090	66	8	65	403157	0	53610	48004
2093	36	8	36	403364	0	53609	48003
2140	82	4	78	403355	0	53608	48002
1853	78	6	80	403166	0	53607	48001
1995	8	4	6	402932	0	53609	48003
2036	9	3	8	403265	0	53610	48004
1935	100	5	102	402950	0	53610	48004
1840	38	10	43	403256	0	53609	48003
2127	53	3	46	403211	0	53608	48002
1857	63	6	66	402797	0	53607	48001
1918	94	7	95	402743	0	53610	48004
1900	16	6	15	403067	0	53609	48003
2067	33	2	29	402311	0	53608	48002
1784	52	8	58	402896	0	53607	48001
1841	89	4	85	402626	0	53610	48004
1759	18	7	21	401672	0	53609	48003
2022	31	4	28	402905	0	53608	48002
1831	108	7	111	401717	0	53607	48001

1687	123	0	116	401438	0	53607	48001
1657	68	2	70	404444	0	53606	48000
2050	62	4	64	401258	0	53610	48004
1927	11	5	12	401636	0	53609	48003
2195	66	5	66	402023	0	53608	48002
1941	13	8	16	401132	0	53609	48003
1797	24	6	22	405083	0	53606	48000
1813	49	9	52	403841	0	53606	48000
1771	90	9	90	406748	0	53606	48000
1680	45	10	46	372278	0	53606	48000
1668	52	6	48	358193	0	53606	48000
1674	40	7	41	348329	0	53606	48000
1654	46	4	43	329528	0	53606	48000
1667	48	9	53	325685	0	53606	48000
1640	37	2	30	324371	0	53606	48000
1649	43	9	50	323435	0	53606	48000
1615	32	2	25	323165	0	53606	48000

2137	557	7	562	324191	0	53606	48000
1481	9	4	6	359615	0	53607	48001
1589	9	4	9	359723	0	53610	48004
1560	5	7	8	359165	0	53609	48003
1168	9	4	6	357851	0	53607	48001
2108	4	8	8	328367	0	53606	48000
1321	13	5	10	358373	0	53609	48003
2063	9	5	9	335297	0	53606	48000
2039	10	9	14	338222	1	53606	48000
2011	6	11	8	341327	1	53606	48000
1521	10	8	7	359210	1	53610	48004
1959	4	11	7	342911	0	53606	48000
1870	11	11	11	347879	1	53606	48000
1811	7	11	7	352514	0	53606	48000
1139	62	4	55	356303	0	53609	48003
1194	22	8	26	356213	0	53610	48004
1987	292	7	291	358490	0	53608	48002

1496	209	5	207	355583	0	53607	48001
1465	103	3	101	354593	0	53610	48004
1467	36	6	39	353387	0	53609	48003
