DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
-523	0	22	0	356430	1
-524	9	46	33	358392	0
-447	106	9	69	358671	1
-474	5	30	26	358347	1
-482	26	27	23	359058	0
-330	184	16	173	358545	0
-330	69	20	73	358320	0
-326	35	8	23	357960	0
-337	25	10	27	357996	0
-350	19	16	25	357861	0
-201	16	22	22	358716	0
-329	37	10	25	357681	0
-317	47	11	48	357771	0
-267	83	16	88	357546	1
-293	8	33	25	357366	0
-269	57	24	48	357384	0
-248	52	17	45	357636	0
-232	50	14	47	357375	0
-215	52	5	43	357537	0

-197	49	5	49	357357	0
-196	34	15	44	357357	0
-184	117	16	118	357276	0
-149	66	18	68	357663	0
-147	33	9	24	357708	0
9	25	9	25	357375	0
-14	9	22	22	357312	0
-114	67	4	49	357483	0
-99	48	25	69	357546	0
-82	51	18	44	357564	0
-89	58	7	47	357411	0
85	7	27	27	357348	0
-23	92	7	72	357555	0
-13	45	12	50	357438	0
98	12	23	23	357375	0
-21	45	21	43	357807	0
-4	88	4	71	357627	0
39	107	11	114	357690	0

285	79	10	78	357681	0
243	26	10	26	357528	1
184	6	30	26	357654	1
135	19	33	22	357366	0
152	49	7	23	357294	0
161	44	5	42	357609	0
185	55	20	70	357663	0
189	37	7	24	357483	0
188	34	21	48	357141	0
204	49	17	45	357024	0
223	51	18	52	357042	0
247	60	4	46	357213	0
259	43	8	47	357141	0
268	43	15	50	356943	0
258	57	6	48	356853	0
277	51	24	69	356511	0
291	49	23	48	356889	0
315	56	16	49	356871	0
309	63	0	47	356808	0
322	77	17	94	356574	0
621	34	8	25	356997	0
483	27	3	22	356700	0

376	61	9	67	356898	0
504	27	9	27	356754	0
416	80	21	92	356700	0
559	43	23	45	356520	0
456	63	4	44	356655	0
594	37	14	47	356727	0
496	70	11	67	356664	0
562	33	23	45	356718	1
646	17	28	22	356826	0
544	66	8	46	356610	0
561	81	22	95	356556	1
612	18	28	24	356718	1
688	10	42	24	356619	0
572	50	14	22	356394	0
565	61	0	47	356619	0
681	16	8	24	356484	0
655	39	12	43	356367	0
607	52	8	48	356412	0
619	80	20	92	356295	0
634	47	20	47	356403	0
632	33	9	22	356466	0
636	37	17	45	356547	0
858	21	22	26	356394	0

813	22	24	24	356502	0
681	35	16	27	356700	0
714	67	12	63	356799	0
729	47	10	45	356691	0
731	35	23	48	356232	0
752	56	15	48	356484	0
784	64	17	66	356475	0
793	42	23	48	356556	0
799	40	6	23	356763	0
824	58	15	67	356493	0
842	51	11	47	356799	0
858	50	7	46	356601	0
866	41	12	46	356556	0
870	37	17	42	356322	0
911	75	12	70	356412	0
930	52	8	48	356277	0
933	36	17	45	356205	0
947	48	20	51	356241	0
963	49	20	49	355413	0
968	38	5	23	354315	0
994	60	13	68	352803	0

1021	60	21	68	351255	0
1016	29	13	21	349536	0
1032	49	13	49	349743	0
1033	34	6	27	349941	0
1051	51	24	69	350238	0
1059	43	6	25	351084	0
1064	37	17	48	351327	0
1082	52	11	46	351939	0
1090	42	13	44	351804	0
1107	50	9	46	351714	0
1138	64	16	71	351444	0
1145	41	22	47	351822	0
1158	47	26	51	351642	0
1145	53	19	46	351741	0
1143	63	7	51	351759	0
1263	21	12	26	351993	0
1177	80	21	89	351516	0
1302	25	20	24	351669	0
1210	75	12	67	351237	0
1334	25	15	28	351930	0
1299	31	8	24	351525	0

1289	90	8	90	350778	0
1331	8	25	25	350868	0
1290	59	13	47	350535	0
1349	27	8	22	350742	0
1322	73	4	69	349905	0
1401	44	6	46	350157	0
1340	39	14	47	350148	0
1364	91	15	92	349725	0
1486	23	13	21	349950	0
1440	21	17	25	350022	0
1392	52	9	44	350616	0
1466	41	16	48	350013	0
1434	67	18	69	351993	0
1485	18	25	25	350877	0
1446	60	14	49	352713	0
1459	81	0	67	353739	0
1568	9	14	23	352308	0
1517	14	26	26	353019	0
1484	68	4	46	354720	0
1558	40	12	48	353901	0
1500	42	14	44	354720	0
1575	43	17	46	354684	0

1524	49	15	47	354981	0
1539	81	6	72	355251	0
1659	19	10	23	354774	0
1627	35	21	46	355062	0
1582	55	10	44	355134	0
1608	94	3	87	355089	0
1723	15	13	25	355062	0
1676	18	17	22	355179	0
1638	63	4	50	354963	0
1651	80	17	93	354666	1
1760	8	34	25	355134	1
1713	21	36	23	354936	0
1676	63	0	27	354792	0
1691	80	9	89	354558	0
1799	9	24	24	354846	1
1744	11	35	22	355152	1
1708	32	27	24	355107	0
1723	49	4	26	355071	0
1727	35	11	42	355062	0
1724	31	4	24	354999	0
1733	42	5	43	355188	0
1741	41	10	46	354945	0
1745	39	24	53	355035	0
1760	47	25	48	355287	0

1775	49	0	24	354972	0
1781	40	11	51	355251	0
1793	45	16	50	355368	0
1791	31	8	23	355125	0
1807	49	7	48	355512	0
1829	55	21	69	355125	0
1837	41	5	25	355287	0
1841	38	15	48	355476	0
1864	56	11	52	355548	0
1878	47	15	51	355080	0
1893	50	17	52	355062	0
1899	38	6	27	355341	0
1910	44	9	47	355188	0
1928	52	0	43	355251	0
1951	56	15	71	355449	0
1949	32	8	25	355224	0
1950	38	12	42	355359	0
1967	47	15	50	355323	0
1994	59	27	71	355062	0
2008	48	3	24	355539	0
2004	29	22	48	355089	0
2007	36	8	22	355269	0

2027	55	25	72	355089	0
2067	72	21	68	355539	0
2067	35	9	23	355566	0
2086	52	22	65	355233	0
2106	52	15	45	355260	0
2118	46	17	48	355107	0
2150	65	20	68	355593	0
2146	29	14	23	355809	0
2153	40	18	44	355170	0
2163	45	18	45	355512	0
2181	50	15	47	355350	0
2207	59	3	47	355377	0
2235	63	15	75	355656	0
2241	38	26	49	355233	0
2262	54	18	46	355350	0
2285	58	7	47	355539	0
2302	49	5	47	355548	0
2314	45	6	46	355503	0
2317	37	16	47	355593	0
2329	45	16	45	355287	0
2333	37	4	25	355395	0

2345	46	4	46	355413	0
2353	41	13	50	355314	0
2370	50	8	45	355485	0
2393	58	26	76	355809	0
2394	33	16	23	355368	0
2411	50	15	49	355737	0
2427	50	14	49	355728	0
2441	47	17	50	355791	0
2446	39	23	45	355539	0
2453	41	4	22	355854	0
2462	41	12	49	355746	0
2467	38	0	26	356367	0
2472	40	9	49	355800	0
2488	48	5	44	355701	0
2502	48	5	48	355791	0
2451	83	12	90	355647	0
2452	34	22	44	355575	0
2462	42	7	27	355512	0
2477	49	5	47	355512	0
2500	56	21	72	355323	0
2509	42	22	43	355098	0

2558	117	21	116	355269	0
2529	38	8	25	355008	0
2937	8	25	25	355575	0
2959	55	17	47	355746	0
2660	34	8	25	355107	0
2734	8	25	25	355332	0
2604	102	19	96	355305	0
2696	25	16	22	355071	0
2691	30	9	23	354981	0
2776	17	21	29	355152	0
2681	38	5	22	355170	0
2691	44	6	45	355224	0
2700	42	10	46	355440	0
2711	44	14	48	355206	0
2667	91	16	93	355251	0
2782	47	20	51	355233	0
2795	46	25	51	355458	1
2870	10	41	26	355215	0
2723	86	23	68	355467	0
2836	46	24	47	355665	0
