DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
126	0	108	0	375492	1
113	100	47	39	376734	0
110	103	15	71	376878	0
97	100	14	99	376581	0
104	122	8	116	376563	0
130	135	7	134	376536	0
75	65	13	71	376527	0
91	134	18	139	376122	0

134	159	23	164	376059	0
126	109	9	95	375591	0
114	109	17	117	377454	0
74	79	10	72	378471	0
66	118	8	116	378912	0
84	135	14	141	376725	0
96	131	22	139	379308	0
114	142	12	132	379416	0

159	160	16	164	379497	0
78	84	4	72	379767	0
56	100	0	96	379767	0
115	172	19	191	380100	0
76	78	19	78	380190	0
94	145	13	139	378822	0
104	121	4	112	379794	0
104	115	4	115	379821	0

128	137	10	143	380055	0
53	40	15	45	380037	0
84	142	13	140	380154	0
102	134	22	143	380010	0
114	125	9	112	378894	0
73	75	4	70	379731	0
61	108	8	112	379884	0
82	130	16	138	379641	0
107	144	4	132	379857	0

120	130	11	137	379371	0
61	61	0	50	378147	0
61	119	23	142	379263	0
60	120	0	97	377724	0
73	128	18	146	378705	0
87	125	8	115	377202	0
111	136	8	136	379020	0
50	48	6	46	378957	0
61	128	16	138	376743	0

90	141	15	140	378012	0
102	125	6	116	376338	0
114	122	21	137	377877	0
55	58	12	49	377859	0
68	126	8	122	377913	0
85	130	10	132	378030	0
109	194	4	188	378120	0
122	127	27	150	377094	0
56	53	22	48	378912	0

65	132	6	116	377319	0
79	126	24	144	378435	0
76	112	4	92	378435	0
91	126	18	140	378534	0
116	141	18	141	378858	0
64	64	0	46	378543	0
70	131	15	146	377220	0
93	143	8	136	378417	0

105	129	15	136	378489	0
117	130	23	138	379533	0
57	56	15	48	379713	0
61	125	18	128	380334	0
112	228	17	227	379938	0
98	101	6	90	380442	0
108	126	23	143	381225	0
52	72	17	66	382377	0

70	133	18	134	384231	0
84	131	5	118	385401	0
112	145	8	148	384915	0
123	146	21	159	383133	0
56	71	19	69	380892	0
50	114	12	107	380145	0
