DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
8390	140	16	125	79428	0
8371	47	31	62	79689	1
8487	16	47	32	79374	0
8468	47	31	31	79455	0
8524	156	31	156	79707	0
8488	31	31	31	79770	1
8603	16	47	32	79761	0
8599	62	16	31	79761	0
8656	156	16	156	79689	0
8705	16	31	31	79788	0
8730	125	31	125	79707	0
8694	31	31	31	79482	1
8744	16	47	32	79653	1
8825	15	63	31	79860	0

8764	172	16	125	79923	0
8893	63	16	63	79545	0
8875	16	32	32	79239	1
8959	16	47	31	79761	0
8897	172	31	156	79455	0
8961	31	31	31	79482	0
9025	31	32	32	79905	1
9075	16	47	31	79320	0
9060	219	15	187	79905	0
9125	31	16	32	79680	0
9174	16	31	31	79626	1
9222	15	47	31	79707	0
9144	156	16	125	79914	0
9274	63	16	63	80058	0
9258	16	31	31	80031	1

9339	15	47	31	79581	0
9407	235	31	219	80130	1
9356	15	47	31	79752	2
9405	16	62	31	80157	1
9487	15	79	32	79833	0
9458	204	31	156	80085	1
9539	15	47	31	80184	2
9588	16	62	31	80283	1
9536	15	79	32	79806	0
9657	219	16	156	80139	0
9706	16	31	31	80238	1
9620	15	47	31	80013	0
9716	63	15	31	80049	0
9791	140	32	157	80040	0
9789	32	31	31	79914	0

9785	62	31	62	80094	0
9796	78	16	63	79968	0
9912	16	31	31	79662	0
9892	47	15	31	79923	0
9900	109	31	125	79860	0
9912	78	16	63	79662	0
10044	32	15	31	79932	0
9992	15	31	31	79500	0
10095	203	16	188	79653	0
10060	32	15	31	79905	0
10109	15	32	32	79815	1
10192	17	47	32	79878	0
10183	156	16	125	79428	0
10179	63	16	63	79851	0
10228	16	31	31	80274	1
10309	15	47	31	79698	0

10331	188	15	156	79824	0
10296	31	16	32	79842	0
10426	31	16	31	79824	1
10376	16	31	31	79707	0
10463	187	32	188	79698	0
10528	32	31	31	79545	1
10458	31	31	31	79995	1
10523	31	31	31	79716	0
10595	172	16	157	79878	0
10644	16	31	31	79617	0
10622	78	15	62	79284	0
10670	15	32	32	79950	0
10696	125	32	125	79932	1
10745	16	47	31	79707	0
10771	126	16	95	80049	0

10821	16	31	31	79626	0
10799	78	16	63	79257	0
10847	16	31	31	79599	0
10937	156	0	125	79491	0
10919	16	15	31	79464	0
10965	78	31	94	79185	1
10946	15	47	31	79455	0
11018	172	32	157	79446	1
11100	16	47	31	79401	1
11099	31	47	31	79509	1
11062	31	47	31	79356	0
11123	94	16	63	79455	0
11165	109	32	125	79437	0
11246	47	16	31	79401	0
11196	16	31	31	79149	0
11225	62	32	63	79176	0

11267	110	16	94	79374	0
11296	62	16	62	79446	0
11294	32	15	31	79608	1
11409	15	31	31	79401	0
11428	219	31	219	79509	1
11427	31	31	31	79491	0
11699	172	16	157	79122	0
11790	125	16	125	79572	0
11706	16	31	31	79509	0
11842	203	15	187	78888	1
11890	15	32	32	79365	0
11871	47	16	31	79437	0

11978	141	31	156	79194	2
11961	16	46	31	79329	1
11943	15	63	32	79158	0
11972	63	31	31	78879	0
12028	156	31	156	78852	0
12093	31	31	31	78924	1
12142	16	47	32	79095	0
12089	47	31	31	79023	0
12196	140	16	125	78699	0
12177	47	31	62	78924	0
12257	47	16	32	79059	0
12237	47	31	62	79158	0
12344	141	15	125	78744	0
12326	15	31	31	79086	1
12309	16	47	32	79284	0

12416	140	32	125	78969	0
12393	78	16	62	78690	1
12476	16	31	31	78708	1
12456	16	47	32	78564	0
12465	172	31	156	78744	1
12580	15	47	31	78897	1
12577	31	47	31	78852	1
12559	16	63	32	78672	0
12582	188	0	125	78897	0
12727	46	16	62	78474	1
12710	16	31	31	78762	1
12693	16	47	32	78627	0
12780	187	16	156	78204	0
12829	16	31	31	78825	1
12744	15	47	31	78582	0
12888	110	0	63	78924	0
12768	15	16	31	78096	0

12845	110	31	125	78618	0
12890	78	15	62	78456	0
13055	31	16	32	78447	0
13037	16	31	31	78330	0
12950	47	15	31	78609	0
12979	62	16	63	78510	0
13010	63	15	62	78204	0
13038	62	16	63	78501	0
13068	63	15	62	78600	0
13097	62	16	63	78366	0
13126	63	15	62	78474	0
13155	62	16	63	78258	0
13185	63	15	62	78177	0
13213	62	16	63	78528	0
13243	63	15	62	78411	0
13272	62	16	63	78159	0
13300	63	15	62	78420	0

13346	78	31	94	78492	0
13359	47	15	31	78150	0
13387	62	16	63	78555	0
13418	63	15	62	78843	0
13462	78	31	94	78717	0
13490	62	31	62	78276	0
13521	63	31	63	78285	0
13565	78	15	62	78825	0
13579	47	31	63	78510	0
13607	62	31	62	78429	0
13638	63	31	63	78519	0
13666	62	31	62	78600	0
13695	63	31	63	78537	0
13740	78	15	62	78519	0
13768	62	16	63	78726	0
13797	63	15	62	78420	0

13827	62	16	63	78438	0
13856	63	15	62	78393	0
13885	62	16	63	78105	0
13915	63	15	62	78438	0
13943	62	16	63	78240	0
13973	63	15	62	78456	0
14002	62	16	63	78384	0
14031	63	15	62	78636	0
14062	64	29	78	78393	0
14090	61	31	63	78510	0
14119	62	31	62	77988	0
14149	63	31	63	78420	0
14177	62	32	63	78636	0
14206	63	31	62	78753	0
14237	63	31	63	78573	0
14265	62	31	62	78636	0

14294	63	31	63	78600	0
14323	62	31	62	78609	0
14368	78	16	63	78303	0
14397	63	15	62	78654	0
14426	62	16	63	78483	0
14456	63	15	62	78384	0
14485	62	16	63	78150	0
14515	63	15	62	78447	0
14543	62	16	63	78690	0
14572	63	15	62	79149	0
14602	62	16	63	78609	0
14632	63	15	62	78627	0
14660	62	16	63	78717	0
14690	63	15	62	78501	0
14734	78	31	94	78780	0
14747	47	15	31	78528	0

14793	78	31	94	78924	0
14821	62	32	63	78618	0
14850	63	31	62	79149	0
14880	62	32	63	78627	0
14909	63	31	62	78834	0
14937	62	0	31	78654	0
14967	63	31	94	78906	0
14996	62	31	62	79203	0
15025	63	31	63	78447	0
15054	62	31	62	79050	0
15084	63	31	63	79050	0
15129	78	16	63	78663	0
15158	62	16	62	78762	0
15188	63	15	62	78996	0
15216	62	16	63	78987	0
15246	63	15	62	78888	0

15290	78	31	94	78780	0
15303	47	15	31	78789	0
15333	62	16	63	78474	0
15362	63	15	62	78375	0
15390	62	16	63	79032	0
15420	63	15	62	79167	0
15449	62	16	63	78582	0
15479	63	15	62	78960	0
15507	62	16	63	78537	0
15552	78	32	94	78960	0
15582	63	31	62	78780	0
15611	62	32	63	79212	0
15640	63	31	62	78978	0
15670	63	31	63	78528	0
15699	62	31	62	79014	0

15728	62	32	63	78852	0
15756	63	31	62	78969	0
15786	62	32	63	78852	0
15832	79	15	62	78690	0
15843	46	34	65	79104	0
15892	81	15	62	78735	0
15920	62	16	63	78636	0
15949	63	15	62	78627	0
15980	64	15	64	79140	0
16009	62	16	63	79509	0
16038	63	15	62	79023	0
16067	62	16	63	79194	0
16097	63	15	62	79122	0
16172	109	31	125	79275	1
16155	16	47	32	78897	0
16200	78	31	62	78879	0

16228	62	32	63	78780	0
16258	63	31	62	78951	0
16288	62	32	63	79032	0
16317	63	31	62	78870	0
16346	62	32	63	78924	0
16375	63	0	31	79095	0
16404	62	32	94	78978	0
16434	63	31	62	78645	0
16463	62	32	63	79014	0
16491	63	31	62	79284	0
16520	62	32	63	79347	0
16550	63	31	62	79023	0
16594	78	16	63	78951	0
16623	62	16	62	78672	0
16653	63	16	63	79014	0
16682	63	15	62	79374	0

16711	62	16	63	78978	0
16741	63	15	62	79176	0
16769	62	16	63	79059	0
16798	62	16	62	79221	0
16829	64	16	64	79266	0
16859	63	15	62	79086	0
16888	62	16	63	79077	0
16918	63	15	62	79320	0
16946	62	16	63	79356	0
16991	78	32	94	79095	0
17021	63	31	62	79347	0
17048	62	32	63	79248	0
17079	63	31	62	79140	0
17108	62	32	63	79131	0
17136	63	31	62	79545	0
17166	62	32	63	79221	0

17195	63	31	62	78924	0
17223	62	32	63	79194	0
17253	63	31	62	78960	0
17298	78	16	63	78906	0
17326	62	16	62	79410	0
17356	63	16	63	78897	0
17385	62	16	62	78816	0
17414	63	16	63	79518	0
17444	62	16	62	78789	0
17473	63	16	63	79311	0
17518	78	31	93	79131	0
17563	78	16	63	79311	0
17561	31	16	31	79050	0
17605	79	31	94	78771	0
17634	62	31	62	79104	0
17664	63	31	63	78636	0

17692	62	31	62	79005	0
17722	63	31	63	78753	0
17751	62	31	62	78933	0
17780	63	31	63	79266	0
17809	62	31	62	79041	0
17854	78	16	63	79050	0
17883	63	15	62	78690	0
17912	62	16	63	78510	0
17942	63	15	62	78654	0
17970	62	16	63	78924	0
18000	63	15	62	79050	0
18029	62	16	63	78807	0
18058	63	15	62	78735	0
18088	62	16	63	78564	0
18117	63	15	62	78654	0
18145	62	16	63	78798	0

18175	63	15	62	78888	0
18204	62	16	63	78915	0
18233	63	15	62	79050	0
18262	62	16	63	78834	0
18292	63	15	62	78483	0
18336	78	31	94	78609	0
18365	62	31	62	78798	0
18395	63	31	63	78591	0
18424	62	32	63	79140	0
18485	94	31	93	78474	0
18498	47	15	31	78573	0
18527	62	16	63	78897	0
18556	63	15	62	78483	0
18589	66	15	66	78645	0
18617	62	16	63	78672	0
18648	63	15	62	78870	0

18676	62	16	63	78861	0
18705	63	15	62	78942	0
18733	62	16	63	79014	0
18779	78	0	62	78564	0
18808	63	31	94	78915	0
18837	62	31	62	78834	0
18867	63	31	63	78627	0
18895	62	31	62	78528	0
18925	63	31	63	78861	0
18954	62	31	62	78636	0
18983	63	31	63	78816	0
19012	62	31	62	78951	0
19073	94	31	94	78969	0
19117	78	16	63	79041	0
19148	63	15	62	78519	0

19177	62	16	63	79041	0
19205	63	15	62	78699	0
19234	62	16	63	78951	0
19264	63	15	62	79113	0
19292	62	16	63	78987	0
19322	63	15	62	79041	0
19351	62	16	63	78636	0
19380	63	15	62	79059	0
19410	62	16	63	79059	0
19439	63	15	62	78654	0
19467	62	16	63	78519	0
19512	78	31	93	78762	0
19542	63	31	63	78897	0
19570	62	31	62	78636	0
19600	63	31	63	78609	0
19629	62	31	62	78627	0

19658	63	31	63	78582	0
19688	62	31	62	78672	0
19718	63	31	63	78402	0
19745	62	0	31	78645	0
19776	63	31	94	78582	0
19820	78	15	62	78285	0
19848	62	16	63	78375	0
19863	47	31	62	78420	0
19907	78	16	63	78159	0
19920	47	31	62	78303	0
19964	78	16	63	78222	0
19998	66	16	66	78150	0
20011	47	31	62	77565	0
20057	78	16	63	77718	0
20087	63	15	62	77718	0
20115	62	16	63	77988	0

20145	63	15	62	77646	0
20177	65	16	66	77979	0
20206	63	15	62	77799	0
20235	62	17	64	77844	0
20265	63	16	62	77700	0
20294	63	16	63	77979	0
20323	63	16	63	77889	0
20353	63	16	63	77646	0
20382	62	17	63	77808	0
20412	64	16	63	77925	0
20442	63	15	62	77727	0
20486	78	31	94	78177	0
20515	62	32	63	77907	0
20545	63	31	62	77772	0
20573	62	31	62	78816	0
20603	63	31	63	78195	0

20824	254	31	254	77988	0
16555	31	31	31	78879	1
16637	16	47	32	78591	2
16620	15	63	31	78915	1
16568	16	78	31	78717	0
16738	203	31	156	78681	0
16702	31	32	32	78870	1
16752	16	47	31	78915	1
16716	31	47	31	79356	0
16812	129	15	97	79077	0
16823	78	31	94	79095	1
16871	15	47	31	79230	0
16868	63	16	32	78969	0

16975	141	33	158	78834	1
16926	17	47	31	78861	1
16991	32	46	31	79122	0
17050	125	15	94	78663	0
17032	15	31	31	78627	0
16995	31	32	32	78537	0
17108	79	15	62	78474	0
17149	140	31	156	78474	1
17198	16	47	32	78897	0
17209	78	31	62	78636	0
17222	47	15	31	78636	0
17283	94	15	94	78393	0
17264	15	31	31	78276	0
17292	94	31	94	78429	0
17356	31	31	31	78564	0
17368	78	17	64	78348	0
17352	17	31	31	78744	0

17472	187	31	187	79068	1
17455	16	47	32	78330	2
17537	15	63	31	78843	1
17453	16	78	31	78672	0
17605	219	15	156	78699	0
17586	15	32	32	78348	1
17568	16	47	31	78717	1
17684	16	62	31	78249	0
17705	187	20	145	79131	0
17659	20	32	32	78708	1
17707	16	47	31	78537	1
17805	31	47	31	79248	0
17826	188	16	157	78510	0
17791	31	16	31	78879	0
17840	16	31	31	78753	0
17954	47	15	31	78699	0

17974	187	16	188	78789	0
17988	47	31	62	78879	1
18070	16	48	33	78807	1
17986	15	64	31	78609	0
18078	158	31	125	78987	0
18189	78	16	63	78645	0
18138	16	35	35	78312	1
18124	19	47	31	78627	0
18182	125	16	94	79005	0
18228	79	31	94	78897	1
18310	15	47	31	79059	1
18226	16	62	31	78969	0
18346	187	32	157	79095	0
18310	32	31	31	79212	1
18359	15	47	31	78762	1
18442	16	62	31	78879	0

18462	187	32	157	79194	0
18542	47	16	31	79059	0
18458	16	31	31	79392	1
18506	15	47	31	79356	0
18595	189	15	157	79203	0
18544	15	31	31	79014	1
18660	16	47	32	79464	0
18671	78	31	62	79275	0
18665	94	31	94	79365	0
18760	62	31	62	78942	0
