Size	BytesSoFar	DeltaCreationEnqueue	DeltaEnqueue	DeltaStayedQueue	DeltaDequeue
1	1052431	2	33	8	32
1	1052260	1	32	6	30
1	1050775	1	34	4	32
1	1046302	1	33	2	31
1	1049371	1	33	4	35
1	1042540	1	34	17	47
1	1053925	2	34	15	32

1	1049596	1	32	14	31
1	1043413	1	34	13	33
1	1053124	1	34	10	31
1	1051360	1	33	8	31
1	1054762	1	34	8	34
1	1046851	1	33	7	32
1	1042765	1	32	5	30
1	1051990	1	35	5	35
1	1061134	1	33	4	32
1	1051324	1	33	3	32
1	1063951	1	34	16	47
1	1047004	1	33	15	32
1	1052530	1	33	14	32
1	1047598	1	34	11	31
1	1052638	1	33	8	30
1	1052368	1	32	9	33
1	1052548	1	35	6	32
1	1049416	2	33	5	32
1	1053286	1	33	3	31
1	1043512	1	34	4	35
1	1050955	1	33	1	30
1	1048714	1	33	17	49
1	1049200	1	34	13	30
1	1048966	1	33	14	34
1	1049065	1	33	12	31
1	1050415	1	34	11	33
1	1051837	1	33	9	31
1	1053772	1	32	7	30
1	1050865	1	35	5	33
1	1051216	2	33	4	32

1	1056121	1	32	6	34
1	1050721	1	35	3	32
1	1046662	1	33	16	46
1	1044394	1	33	14	31
1	1052413	1	34	13	33
1	1048120	1	33	12	32
1	1050928	1	34	10	32
1	1049083	1	34	10	34
1	1050496	1	32	8	30
1	1045015	1	33	7	32
1	1051594	1	34	6	33
1	1050109	1	33	4	31
1	1050775	1	33	3	32
1	1053475	1	34	1	32
1	1056382	1	33	16	48
1	1059343	1	33	14	31
1	1055617	1	34	12	32
1	1052314	1	33	13	34
1	1052656	1	33	12	32
1	1060135	1	34	9	31
1	1057264	1	32	7	30
1	1058533	1	34	7	34
1	1057597	1	34	4	31
1	1052017	1	33	4	33
1	1060090	1	33	3	32
1	1053844	1	35	16	48
1	1053223	1	32	15	31
1	1052368	1	34	14	33
1	1055464	1	33	13	32
1	1055248	1	33	12	32

1	1061188	1	33	11	32
1	1070539	1	34	8	31
1	1066129	1	33	7	32
1	1067425	1	33	7	33
1	1066570	1	34	5	32
1	1063510	1	33	4	32
1	1064770	1	34	1	31
1	1063618	1	33	15	47
1	1067704	1	34	14	33
1	1060954	1	32	14	32
1	1064995	1	35	12	33
1	1072393	1	33	10	31
1	1069864	1	31	9	30
1	1060603	1	35	7	33
1	1062457	1	32	7	32
1	1064806	1	33	6	32
1	1064977	1	35	3	32
1	1058695	1	33	1	31
1	1061125	1	33	16	48
1	1076857	1	34	16	34
1	1065364	1	33	13	30
1	1069396	1	33	14	34
1	1056535	1	34	12	32
1	1065157	1	33	12	33
1	1067569	1	33	10	31
1	1059865	1	35	7	32
1	1063897	1	32	5	30
1	1058299	1	33	6	34
1	1062601	1	34	4	32
1	1066426	1	33	2	31

1	1064995	1	33	16	47
1	1068352	1	33	15	32
1	1065778	1	34	15	34
1	1062529	1	33	14	32
1	1069585	0	33	11	30
1	1069666	1	33	9	31
1	1072681	1	33	9	33
1	1065913	2	35	5	31
1	1064464	1	32	7	34
1	1069351	1	34	5	32
1	1073446	1	34	1	30
1	1064752	1	34	1	34
1	1064500	1	31	2	32
1	1061656	1	35	15	48
1	1071538	1	33	13	31
1	1065553	1	32	13	32
1	1066723	0	34	12	33
1	1063591	1	33	10	31
1	1060936	1	34	7	31
1	1070107	1	34	6	33
1	1062241	1	33	6	33
1	1066309	1	33	4	31
1	1070386	1	34	0	30
1	1068019	1	33	15	48
1	1068505	1	32	16	33
1	1069783	1	35	12	31
1	1072834	1	32	15	35
1	1070512	1	33	13	31
