Size	BytesSoFar	DeltaCreationEnqueue	DeltaEnqueue	DeltaStayedQueue	DeltaDequeue
1	1087066	1	35	14	47
1	1078219	1	34	14	34
1	1081783	1	32	14	32
1	1089964	1	34	11	31
1	1086130	1	33	10	32
1	1079416	1	33	9	32
1	1081612	1	35	7	33
1	1092349	1	33	5	31
1	1083196	1	32	5	32
1	1083295	1	34	3	32
1	1078579	1	32	3	32
1	1087057	1	33	1	31
1	1078354	1	35	14	48
1	1097497	1	32	13	31
1	1087381	1	34	11	32
1	1083799	1	35	9	33
1	1086931	1	31	8	30
1	1091593	1	34	8	34
1	1087381	1	34	7	33
1	1100674	1	33	6	32
1	1089199	1	33	5	32
1	1087822	1	35	2	32
1	1078120	1	32	16	46
1	1080370	1	34	15	33

1	1088326	1	33	14	32
1	1092088	1	34	12	32
1	1085941	2	33	9	30
1	1088380	1	32	9	32
1	1096840	1	35	8	34
1	1092979	1	31	8	31
1	1096057	1	35	5	32
1	1087525	1	33	3	31
1	1085824	1	32	3	32
1	1092997	2	41	11	49
1	1088101	1	29	15	33
1	1079002	1	32	14	31
1	1086328	1	34	13	33
1	1084942	1	32	13	32
1	1083439	2	34	11	32
1	1098838	1	34	9	32
1	1087480	1	32	9	32
1	1080100	1	33	7	31
1	1087552	1	34	7	34
1	1095148	1	33	8	34
1	1088515	1	33	8	33
1	1083673	1	35	2	29
1	1089496	1	33	16	47
1	1086490	1	34	15	33
1	1086625	1	33	13	31
1	1087759	1	33	13	33
1	1092133	1	33	15	35
1	1082368	1	35	8	28
1	1085131	1	31	9	32
1	1088182	1	33	7	31
1	1085707	1	35	6	34

1	1094869	1	33	5	32
1	1087966	1	33	4	32
1	1089838	1	33	2	31
1	1096714	1	34	16	48
1	1076311	1	33	15	32
1	1091188	1	34	13	32
1	1094527	1	33	12	32
1	1089721	1	33	12	33
1	1088425	1	34	9	31
1	1087741	1	33	7	31
1	1084501	1	33	7	33
1	1095535	1	34	4	31
1	1088011	1	33	2	31
1	1100467	2	33	2	33
1	1091377	1	34	15	47
1	1091035	1	34	13	32
1	1083835	1	32	13	32
1	1094626	1	34	11	32
1	1082791	1	33	10	32
1	1094536	1	34	7	31
1	1086202	1	33	6	32
1	1088569	1	33	6	33
1	1091161	1	33	5	32
1	1091017	1	34	18	47
1	1098811	1	34	2	18
1	1092943	1	32	2	32
1	1094671	1	34	15	47
1	1077760	2	34	13	32
1	1090234	1	32	13	32
1	1084312	1	34	13	34

1	1083205	1	34	12	33
1	1094338	2	33	8	29
1	1089010	1	32	9	33
1	1093654	1	33	8	32
1	1091296	1	33	5	30
1	1082350	1	36	2	33
1	1089388	1	31	3	32
1	1097065	2	34	1	32
1	1092628	1	33	15	47
1	1091152	1	32	14	31
1	1087363	1	33	13	32
1	1090603	1	34	18	39
1	1088083	1	35	7	24
1	1092115	1	32	8	33
1	1088938	1	33	7	32
1	1083610	1	34	5	32
1	1086724	1	33	5	33
1	1091377	1	34	3	32
1	1091485	2	34	1	32
1	1094194	1	32	2	33
1	1086085	0	34	12	44
1	1086940	1	33	14	35
1	1087057	1	34	10	30
1	1088038	1	32	12	34
1	1093195	1	33	10	31
1	1080487	2	34	7	31
1	1087408	1	33	7	33
1	1094806	1	33	6	32
1	1086904	1	33	5	32
1	1089451	1	35	2	32

1	1085257	1	33	14	45
1	1089622	1	33	15	34
1	1101799	1	35	13	33
1	1090270	1	32	13	32
1	1090495	2	34	11	32
1	1088506	1	33	9	31
1	1087408	1	33	7	31
1	1085869	1	34	6	33
1	1091017	1	33	5	32
1	1086796	1	32	4	31
1	1087795	2	34	2	32
1	1089280	1	34	1	33
1	1093762	1	32	17	48
1	1089352	1	33	16	32
1	1094383	1	35	13	32
1	1086931	1	33	11	31
1	1085509	1	34	8	31
1	1091962	1	33	7	32
1	1089145	1	34	5	32
1	1090162	2	33	5	33
1	1090315	1	34	3	32
1	1077841	1	33	3	33
1	1095085	1	32	17	46
1	1089622	1	34	14	31
1	1097776	1	32	15	33
1	1081423	1	33	14	32
1	1086157	1	35	11	32
1	1092169	1	33	9	31
1	1088236	1	33	8	32
1	1094194	1	34	6	32
1	1089109	1	33	5	32

1	1086652	1	33	4	32
1	1090135	1	34	1	31
1	1090927	1	33	17	49
1	1092376	1	33	15	31
1	1084150	1	34	14	33
1	1091701	1	33	14	33
1	1098685	1	34	12	32
1	1093321	1	33	11	32
1	1084969	1	33	9	31
1	1085518	1	33	7	31
1	1094905	1	34	6	33
1	1095076	1	33	5	32
1	1086958	1	33	5	33
1	1088902	1	34	3	32
1	1089694	1	33	1	31
1	1088776	1	33	15	47
1	1089010	0	34	12	31
1	1076680	1	32	14	34
1	1086418	1	34	10	30
1	1092070	1	33	12	35
1	1089442	1	33	10	31
1	1084672	1	33	8	31
1	1089802	1	35	6	33
1	1091890	1	33	6	33
1	1087984	0	32	6	32
1	1096363	1	35	1	30
1	1089010	1	32	17	48
1	1097452	2	34	15	32
1	1088992	1	34	13	32
1	1095256	1	33	12	32

1	1094365	1	33	11	32
1	1090099	1	33	9	31
1	1087858	1	33	7	31
1	1083844	1	33	8	34
1	1095805	1	35	5	32
1	1085797	1	33	3	31
1	1093105	1	32	3	32
1	1092250	1	35	15	47
1	1090288	1	33	14	32
1	1099819	1	32	16	34
1	1092673	1	35	13	32
1	1089352	1	33	11	31
1	1088146	1	33	9	31
1	1086229	1	34	8	33
1	1095643	1	33	7	32
1	1080991	1	32	7	32
1	1099639	2	36	5	34
1	1074862	1	32	5	32
1	1085257	2	34	3	32
1	1088317	1	34	13	44
1	1085320	1	32	14	33
1	1092583	1	33	13	32
1	1081324	1	34	12	33
1	1096984	1	33	10	31
1	1092763	1	33	9	32
2	1089559	1	34	35	60
2	2189540	0	32	3	60
1	1093294	1	34	4	35
1	1091953	1	34	3	33
1	1093816	0	32	2	31

1	1097164	1	34	17	49
1	1085212	1	34	14	31
1	1094680	1	34	14	34
1	1089847	1	32	14	32
1	1089145	1	34	11	31
1	1087615	1	33	8	30
1	1091476	1	33	8	33
1	1088506	1	34	6	32
1	1088011	1	33	5	32
1	1099288	1	33	4	32
1	1094878	1	35	1	32
1	1089541	2	33	15	47
1	1091971	1	32	17	34
1	1092745	1	33	14	30
1	1091566	1	34	14	34
1	1094878	1	32	13	31
1	1089487	1	34	9	30
1	1097335	2	34	8	33
1	1090306	1	32	8	32
1	1082404	1	35	6	33
1	1081909	1	32	6	32
1	1094932	1	33	5	32
1	1091026	1	35	2	32
1	1091683	1	32	1	31
1	1103365	1	34	14	47
1	1095481	1	34	14	34
1	1093186	1	33	12	31
1	1097038	1	33	12	33
1	1086391	1	34	10	32
1	1100665	1	33	8	31

1	1090990	1	32	9	33
1	1088344	1	34	5	30
1	1092052	1	33	4	32
1	1088704	1	33	4	33
1	1087885	1	34	2	32
1	1088974	1	34	15	47
1	1092961	1	32	15	32
1	1079623	1	35	12	32
1	1089703	1	32	11	31
1	1081693	1	33	10	32
1	1091971	1	35	8	33
1	1089532	1	33	6	31
1	1088353	1	32	7	33
1	1078525	1	35	4	32
1	1098487	1	33	3	32
1	1085788	1	33	3	33
1	1100530	1	33	17	47
1	1088146	1	33	16	32
1	1090189	1	34	14	32
1	1092268	1	34	12	32
1	1089460	1	33	8	29
1	1090684	1	33	8	33
1	1096732	1	34	6	32
1	1090441	1	32	6	32
1	1089208	1	33	5	32
1	1081720	1	35	2	32
1	1085932	1	32	3	33
1	1093699	1	34	16	47
1	1089415	1	34	13	31
1	1092970	1	33	15	35

1	1090297	1	33	13	31
1	1097551	1	34	11	32
1	1088488	1	33	10	32
1	1097011	1	34	8	32
1	1104688	1	34	5	31
1	1105768	1	33	4	32
1	1107226	1	32	5	33
1	1105039	1	34	3	32
1	1098028	1	33	1	31
1	1109512	1	33	16	48
1	1125784	1	35	13	32
1	1124074	1	33	11	31
1	1119763	1	32	12	33
1	1123804	1	35	8	31
1	1120861	1	32	9	33
1	1123003	1	33	7	31
1	1114237	1	35	5	33
1	1117000	1	31	6	32
1	1113814	1	33	5	32
1	1116604	1	35	14	44
1	1125190	1	33	14	33
1	1124299	1	33	14	33
1	1118539	1	34	12	32
1	1099072	1	32	13	33
1	1069093	1	33	11	31
1	1055458	1	35	7	31
1	1038124	1	32	8	33
1	1024417	1	33	6	31
1	1010908	1	41	13	48
1	998650	0	26	20	33
1	989974	1	34	2	16

1	992476	0	33	3	34
1	988318	1	34	16	47
1	987229	0	32	16	32
1	989146	1	34	14	32
1	989083	1	33	10	29
1	988921	1	33	9	32
1	992260	1	34	9	34
1	988678	0	32	7	30
1	990973	1	34	5	32
1	993475	0	34	5	34
1	990199	1	33	2	30
1	995743	1	33	4	35
1	988156	0	34	16	46
1	988255	0	33	15	32
1	982126	1	33	15	33
1	987967	1	35	13	33
1	987400	1	33	10	30
1	988543	0	31	12	33
1	984106	1	35	8	31
1	984853	0	32	8	32
1	983458	0	33	7	32
1	985015	1	35	4	32
1	984295	1	33	1	30
1	980515	1	33	2	34
1	979426	1	34	15	47
1	978769	1	33	15	33
1	988867	1	33	14	32
1	991513	0	34	13	33
1	995941	0	33	9	29
1	996769	1	33	10	34

1	998542	0	34	6	30
1	989110	0	33	7	34
1	1003123	0	32	6	31
1	1016182	1	35	4	33
1	1019512	1	33	3	32
1	1021735	1	33	16	46
1	1026964	1	34	14	32
1	1032148	1	33	15	34
1	1040842	2	34	10	29
1	1049014	1	33	9	32
1	1053514	1	34	7	32
1	1052335	1	32	8	33
1	1066897	1	34	6	32
1	1060138	1	33	5	32
1	1050571	1	33	4	32
1	1055557	1	35	17	48
1	1047277	1	33	15	31
1	1043848	1	33	16	34
1	1049023	1	34	12	30
1	1052002	1	33	12	33
1	1060633	1	33	10	31
1	1051327	1	33	9	32
1	1071649	1	33	8	32
1	1083493	1	33	6	31
1	1091152	1	34	6	34
1	1096138	2	34	4	32
1	1097191	1	33	3	32
1	1096552	1	34	1	32
1	1098334	1	33	15	47
1	1102087	1	33	14	32

1	1098856	1	34	13	33
1	1100683	1	33	10	30
1	1098721	1	32	11	33
1	1099216	1	35	7	31
1	1100044	1	33	8	34
1	1101016	1	33	7	32
1	1102042	1	33	5	31
1	1097524	1	33	5	33
1	1093348	1	33	3	31
1	1097425	1	35	15	47
1	1097965	1	33	13	31
1	1104481	1	33	13	33
1	1095859	1	33	11	31
1	1090396	1	33	12	34
1	1095823	1	33	10	31
1	1091530	1	34	8	32
1	1089145	1	33	7	32
1	1103536	1	34	6	33
1	1098514	1	34	4	32
1	1100791	1	33	3	32
1	1102366	1	33	2	32
1	1103995	1	34	14	46
1	1102456	1	32	14	32
1	1116469	1	34	11	31
1	1098595	1	33	13	35
1	1103050	0	33	11	31
1	1101898	1	33	10	32
1	1101565	1	34	8	32
1	1098118	0	33	6	31
1	1099198	1	33	4	31

1	1103545	1	34	2	32
1	1100638	1	33	4	35
1	1096093	1	34	16	46
1	1094203	1	34	13	31
1	1099693	1	33	13	33
1	1094059	1	33	11	31
1	1099846	1	34	12	35
1	1099153	1	33	9	30
1	1099198	1	32	7	30
1	1103734	1	34	7	34
1	1109215	1	33	6	32
1	1110430	1	33	5	32
1	1112356	1	34	2	31
1	1115992	1	33	2	33
1	1119133	1	34	16	48
1	1119601	1	34	14	32
1	1117702	1	33	12	31
1	1116559	1	33	13	34
1	1112680	1	34	8	29
1	1105327	1	33	6	31
1	1094176	1	33	7	34
1	1094473	1	34	6	33
1	1100206	1	33	5	32
1	1084150	2	33	3	31
1	1050706	1	34	1	32
1	1028845	1	32	16	47
1	1043524	1	33	16	33
1	1040041	1	34	11	29
1	1045072	0	32	11	32
1	1051075	1	34	12	35

1	1058374	1	35	7	30
1	1067050	1	32	8	33
1	1065889	1	33	6	31
1	1076743	1	34	5	33
1	1075123	1	33	4	32
1	1081810	1	34	2	32
1	1089370	2	34	16	48
1	1093456	1	32	14	30
1	1100602	1	33	15	34
1	1111591	1	34	13	32
1	1101358	1	33	10	30
1	1102456	1	33	10	33
1	1095832	0	34	7	31
1	1098730	1	33	6	32
1	1096030	1	33	7	34
1	1104319	0	34	4	31
1	1097659	1	33	3	32
1	1094041	1	34	1	32
1	1102330	2	34	15	48
1	1093420	1	32	15	32
1	1101628	1	33	14	32
1	1095103	1	34	10	30
1	1083097	1	33	9	32
1	1078984	1	33	9	33
1	1076482	1	34	8	33
1	1074250	1	33	7	32
1	1065889	1	33	4	30
1	1060930	1	35	2	33
1	1056160	1	32	16	46
1	1050985	1	33	17	34

1	1042390	1	34	13	30
1	1013851	1	34	11	32
1	991873	1	31	12	32
1	991090	1	35	10	33
1	1001899	1	33	9	32
1	1043794	1	33	8	32
1	1050760	1	35	7	34
1	1053127	1	32	5	30
1	1050085	1	34	3	32
1	1055368	1	34	1	32
1	1058428	1	32	17	48
1	1056736	1	33	15	31
1	1047718	1	34	13	32
1	1038979	1	33	12	32
1	1039330	1	32	11	31
1	1031320	1	34	9	32
1	1034317	1	33	9	33
1	1030249	0	33	8	32
1	1028638	1	35	6	33
1	1024282	1	33	4	31
1	1020043	0	32	4	32
1	1032562	1	35	3	34
1	1021555	1	33	16	46
1	1026397	1	33	15	32
1	1016821	0	33	15	33
1	1020610	0	33	14	32
1	1016857	1	34	13	33
1	1021897	1	34	10	31
1	1025857	1	33	7	30
1	1028737	1	33	7	33
1	1030636	0	33	6	32

1	1030897	0	33	7	34
1	1040122	1	34	5	32
1	1038862	0	33	2	30
1	1039834	1	34	16	48
1	1052209	1	34	13	31
1	1050742	1	33	12	32
1	1055197	1	33	13	34
1	1053469	1	32	11	30
1	1065466	1	35	8	32
1	1055071	1	33	6	31
1	1060732	1	33	5	32
1	1074619	1	34	4	33
1	1089577	1	33	2	31
1	1103203	1	34	16	48
1	1125055	1	33	14	31
1	1112473	1	33	13	32
1	1125190	1	33	11	31
1	1124992	1	34	8	31
1	1122571	1	33	7	32
1	1125388	1	32	7	32
1	1124065	1	35	7	35
1	1126612	1	33	4	30
1	1118980	1	33	3	32
1	1114318	1	34	1	32
1	1113085	1	33	17	49
1	1115848	1	34	14	31
1	1113562	1	33	15	34
1	1107397	1	34	12	31
1	1105993	0	31	12	31
1	1096579	1	34	9	31

1	1105300	1	33	8	32
1	1118440	1	33	7	32
1	1106146	1	35	5	33
1	1104364	1	33	3	31
1	1108018	1	32	4	33
1	1113571	1	35	1	32
1	1104661	1	33	1	33
1	1097398	1	33	16	48
1	1114039	1	34	14	32
1	1109818	1	33	12	31
1	1107478	1	33	11	32
1	1103167	1	34	7	30
1	1106596	1	33	7	33
1	1101052	1	33	6	32
1	1116028	1	35	3	32
1	1107028	1	32	3	32
1	1106920	1	33	2	32
1	1099351	1	35	16	49
1	1108090	1	32	15	31
1	1110718	1	34	15	34
1	1107964	0	33	13	31
1	1115893	1	32	13	32
1	1107829	1	33	12	32
1	1100539	1	35	8	31
1	1114633	1	32	7	31
1	1112977	1	33	7	33
1	1109683	1	35	2	30
1	1114300	1	33	2	33
1	1103464	0	32	3	33

1	1110889	1	35	20	52
1	1113103	0	33	4	17
1	1108711	1	32	13	41
1	1102789	1	35	12	34
1	1107325	1	33	10	31
1	1112059	1	33	10	33
1	1107001	1	34	7	31
1	1104706	1	33	6	32
1	1105354	1	33	5	32
1	1104634	1	35	3	33
1	1106866	1	33	16	46
1	1103914	1	32	16	32
1	1105390	1	33	15	32
1	1111366	1	34	15	34
1	1109233	1	33	13	31
1	1106119	1	34	9	30
1	1114246	1	33	11	35
1	1107523	1	32	11	32
1	1100161	1	35	7	31
1	1105741	1	32	6	31
1	1097326	1	33	5	32
1	1101421	1	36	17	48
1	1107271	1	33	15	31
1	1109386	1	32	16	33
1	1105417	1	34	15	33
1	1108945	1	32	14	31
1	1109845	1	34	14	34
1	1112662	1	34	11	31
1	1104706	0	32	10	31
1	1101169	1	34	9	33
1	1109503	1	34	6	31

1	1108774	1	33	4	31
1	1104121	1	33	4	33
1	1105408	0	34	1	31
1	1110043	1	34	16	49
1	1108297	1	32	15	31
1	1097938	0	33	15	33
1	1104742	1	33	13	31
1	1104931	1	33	11	31
1	1108369	0	34	10	33
1	1103545	1	33	8	31
1	1106308	0	33	9	34
1	1105048	1	34	7	32
1	1106038	1	33	6	32
1	1109008	1	34	3	31
1	1111780	1	34	2	33
1	1108405	1	34	16	48
1	1107226	1	33	16	33
1	1111744	1	33	15	32
1	1109341	1	33	12	30
1	1112626	1	33	11	32
1	1110529	1	34	10	33
1	1113328	1	33	8	31
1	1108144	1	33	7	32
1	1105975	1	34	4	31
1	1103347	1	33	4	33
1	1108063	1	32	4	32
1	1111069	1	34	1	31
1	1110637	1	39	10	48
1	1103752	1	27	15	32
1	1097461	1	35	14	34

1	1108648	1	33	11	30
1	1106587	1	32	10	31
1	1110241	1	34	8	32
1	1103212	0	33	7	32
1	1103842	1	34	7	34
1	1102906	1	34	4	31
1	1118242	1	33	4	33
1	1100152	1	32	4	32
1	1109701	1	35	17	48
1	1108297	1	33	15	31
1	1102420	1	33	16	34
1	1110187	1	34	12	30
1	1108504	1	33	10	31
1	1109089	1	33	9	32
1	1108342	1	34	10	35
1	1106506	1	33	8	31
1	1108297	1	33	8	33
1	1109080	1	34	6	32
1	1098982	1	34	2	30
1	1105057	1	31	4	33
1	1108567	0	34	16	46
1	1108693	1	34	15	33
1	1107757	1	32	14	31
1	1109701	1	35	13	34
1	1107541	1	33	9	29
1	1107118	1	34	8	33
1	1108135	1	33	7	32
1	1108360	1	33	6	32
1	1110574	0	32	5	31
1	1109188	1	34	4	33
1	1106587	1	33	3	32

1	1110646	1	33	3	33
1	1113661	1	35	15	47
1	1115974	1	33	16	34
1	1105750	1	33	14	31
1	1109512	1	36	10	32
1	1100278	1	32	11	33
1	1111033	1	35	7	31
1	1111096	2	34	8	35
1	1099720	1	33	4	29
1	1108297	1	33	2	31
1	1112590	2	49	9	56
1	1117198	2	26	8	25
1	1108747	1	23	14	29
1	1104706	1	33	15	34
1	1105192	1	33	13	31
1	1102708	1	33	10	30
1	1103311	1	34	8	32
1	1101160	1	32	10	34
1	1098019	1	33	9	32
1	1099315	1	34	7	32
1	1108774	1	34	6	33
1	1106389	1	33	2	29
1	1103401	0	33	4	35
1	1103068	1	34	16	46
1	1104247	1	33	16	33
1	1098730	1	35	12	31
1	1102024	1	32	12	32
1	1111159	1	33	11	32
1	1097569	1	34	8	31
1	1103896	1	34	7	33

1	1102627	1	32	6	31
1	1109062	1	34	5	33
1	1105201	1	33	4	32
1	1103356	1	33	3	32
1	1107631	1	34	2	33
1	1109539	1	33	16	47
1	1108783	1	33	15	32
1	1111762	1	36	12	33
1	1111177	1	32	12	32
1	1119250	1	31	11	30
1	1114903	1	35	7	31
1	1106155	1	32	11	36
1	1104463	1	36	5	30
1	1106434	1	31	6	32
1	1101295	0	33	5	32
1	1109359	1	33	4	32
1	1107397	1	35	17	48
1	1109692	1	33	15	31
1	1105678	1	33	16	34
1	1102132	1	34	12	30
1	1104013	1	33	10	31
1	1106659	0	32	11	33
1	1105948	1	35	7	31
1	1103347	1	33	7	33
1	1104121	1	33	7	33
1	1110520	1	34	5	32
1	1109548	1	33	3	31
1	1108027	1	33	3	33
1	1114444	1	34	17	48
1	1105102	1	33	15	31

1	1104508	1	34	14	33
1	1105093	1	34	11	31
1	1111339	1	32	9	30
1	1119466	0	32	11	34
1	1105759	1	35	7	31
1	1109107	1	33	8	34
1	1106578	1	33	6	31
2	1108882	1	35	35	64
2	2220986	1	32	3	64
1	1104202	1	32	1	30
1	1100026	1	35	14	48
1	1107028	0	32	15	33
1	1107757	0	33	14	32
1	1103824	1	36	12	34
1	1105921	1	32	12	32
1	1118710	1	33	11	32
1	1107487	1	34	8	31
1	1107982	0	32	8	32
1	1106722	1	33	7	32
1	1103212	1	35	4	32
1	1110637	0	33	2	31
1	1109368	1	33	16	47
1	1105507	1	34	16	34
1	1111825	1	33	13	30
1	1110097	1	33	15	35
1	1109008	1	35	9	29
1	1100512	1	31	11	33
1	1110250	1	34	8	31
1	1110646	1	34	6	32
1	1105381	1	33	6	33

1	1108774	1	33	5	32
1	1103329	1	34	3	32
1	1099036	1	34	2	33
1	1105984	1	32	2	32
1	1103860	1	35	12	45
1	1107064	1	32	15	35
1	1106470	1	33	13	31
1	1110709	1	35	9	31
1	1107055	1	32	10	33
1	1109404	1	34	8	32
1	1104769	1	34	4	30
1	1101754	1	33	6	35
1	1106641	1	33	5	32
1	1103383	1	34	1	30
1	1109494	1	33	1	33
1	1109134	1	33	1	33
1	1106911	1	35	12	46
1	1111618	1	31	13	32
1	1109044	1	33	12	32
1	1107973	1	34	9	31
1	1106551	1	33	9	33
1	1111798	1	33	8	32
1	1106704	1	34	7	33
1	1109458	1	35	5	33
1	1108666	1	31	2	28
1	1111681	1	35	16	49
1	1104589	1	33	16	33
1	1116973	1	33	16	33
1	1105678	1	35	12	31
1	1109503	1	32	12	32

1	1110052	1	33	10	31
1	1116199	1	34	9	33
1	1107586	1	33	8	32
1	1109656	1	32	8	32
1	1106479	1	35	6	33
1	1103878	1	33	3	30
1	1108891	1	33	2	32
1	1108288	1	35	16	49
1	1116136	1	32	16	32
1	1108306	1	33	14	31
1	1110430	1	33	13	32
1	1110043	1	33	12	32
1	1106362	1	33	10	31
1	1105804	1	35	6	31
1	1109872	1	33	6	33
1	1104823	1	32	7	33
1	1113229	1	35	4	32
1	1093924	1	32	4	32
1	1111501	1	33	3	32
1	1106146	1	34	1	32
1	1104796	1	33	15	47
1	1107586	2	34	13	32
1	1118287	1	33	13	33
1	1109305	1	34	10	31
1	1110862	1	32	9	31
1	1115074	1	35	7	33
1	1119097	1	32	7	32
1	1110700	1	33	7	33
1	1108315	1	34	4	31
1	1098964	1	33	2	31

1	1108333	1	33	17	48
1	1110601	1	33	16	32
1	1106794	1	35	12	31
1	1106191	1	31	15	34
1	1107721	1	35	10	30
1	1110709	1	33	10	33
1	1108909	1	33	8	31
1	1114561	1	34	5	31
1	1109170	1	33	6	34
1	1102537	1	33	6	33
1	1110061	1	35	3	32
1	1110466	1	32	3	32
1	1117108	2	35	1	33
1	1121986	1	33	14	46
1	1113715	1	33	13	32
1	1104445	1	33	12	32
1	1110466	1	36	8	32
1	1107550	1	31	8	31
1	1107397	1	33	6	31
1	1106173	1	33	5	32
1	1107190	1	33	5	33
1	1113436	1	32	5	32
1	1109602	1	35	1	31
1	1106677	1	33	15	47
1	1109791	1	34	15	34
1	1104841	1	33	14	32
1	1108567	1	33	13	32
1	1107595	1	33	10	30
1	1101394	1	35	8	33
1	1104211	0	32	7	31
1	1107451	1	34	7	34

1	1102033	1	34	5	32
1	1106317	1	32	5	32
1	1107919	1	33	5	33
1	1102231	1	34	17	46
1	1109107	1	35	14	32
1	1111492	2	32	16	34
1	1099522	1	34	14	32
1	1101844	1	34	11	31
1	1111915	1	32	11	32
1	1102312	1	34	9	32
1	1110970	1	33	8	32
1	1104679	1	32	7	31
1	1104994	1	34	5	32
1	1103311	1	33	4	32
1	1104850	1	33	3	32
1	1105183	1	35	16	48
1	1107865	1	33	15	32
1	1111546	1	32	14	31
1	1108846	2	35	11	32
1	1099153	1	33	9	31
1	1104310	1	33	10	34
1	1105309	1	35	7	32
1	1109305	0	31	7	31
1	1101592	1	33	6	32
1	1099009	1	34	4	32
1	1099963	2	34	3	33
1	1099081	1	33	2	32
1	1106047	1	34	16	48

2	449677	0	0	17	0
2	899525	0	14	3	0
1	450316	0	33	16	46
1	450262	0	33	12	29
1	449983	0	33	14	35
1	449659	0	34	13	33
1	449956	0	33	11	31
1	450172	0	33	7	29
1	450118	0	35	5	33
1	450064	0	32	8	35
1	450019	1	33	2	27

1	450235	0	33	3	34
1	449713	0	33	19	49
1	449524	0	33	4	18
1	449263	0	34	3	33
1	448930	0	33	17	47
1	449065	0	34	13	30
1	448750	0	33	10	30
1	447481	0	33	13	36
1	445150	0	34	8	29
1	442108	0	33	5	30
1	438670	0	33	3	31
1	433351	0	33	5	35
1	427231	1	35	2	32
1	420499	1	33	15	46
1	412480	0	32	3	20
1	403597	1	35	0	32
1	393562	0	32	17	49
1	384706	0	33	14	30
1	376210	1	35	11	32
1	369379	0	33	12	34
1	362377	0	32	11	31
1	355312	0	34	10	33
1	350803	0	33	6	29
1	350389	0	34	6	34
1	344044	0	33	4	31
1	329905	1	33	4	33
1	310906	0	40	12	48
1	292411	0	27	11	26
1	272179	0	33	10	32
1	251965	0	32	13	35

1	235522	1	35	9	31
1	229528	0	32	8	31
1	228853	0	33	10	35
1	231337	0	35	3	28
1	234028	0	32	7	36
1	240436	0	33	8	34
1	253828	0	35	5	32
1	267031	0	33	4	32
1	277966	0	33	2	31
1	289180	0	34	13	45
1	302860	0	33	15	35
1	320248	0	33	10	28
1	335197	0	34	12	36
1	350083	0	33	11	32
1	364276	0	33	6	28
1	375823	1	35	3	32
1	384049	0	33	6	36
1	391528	0	32	6	32
1	400951	0	34	1	29
1	408646	0	33	2	34
1	418060	0	33	2	33
1	422587	0	35	13	46
1	420787	0	32	14	33
1	416890	0	33	10	29
1	397792	0	34	10	34
1	418591	0	33	9	32
1	430021	0	33	8	32
1	434368	0	34	3	29
1	439390	0	33	5	35
1	446401	0	33	6	34
1	450541	0	34	5	33

1	454627	0	34	2	31
1	458065	0	33	17	48
1	462214	0	34	15	32
1	466048	0	33	12	30
1	468838	0	33	12	33
1	470215	1	34	10	32
1	470413	0	33	10	33
1	469441	0	33	7	30
1	468064	0	34	5	32
1	466039	0	32	6	33
1	464167	0	33	4	31
1	462115	0	34	18	48
1	460531	0	33	19	34
1	459262	0	33	15	29
1	457561	0	34	14	33
1	455140	0	33	14	33
1	452170	0	33	12	31
1	448336	0	34	10	32
1	445609	0	33	9	32
1	442963	0	33	4	28
1	437824	0	34	6	36
1	441748	0	33	6	33
1	446572	0	33	4	31
1	451126	0	35	4	35
1	455860	0	33	1	30
1	459964	0	33	14	46
1	463690	0	34	13	33
1	466750	0	33	13	33
1	469828	0	32	12	31
1	472528	0	34	5	27

1	475048	0	33	7	35
1	477811	0	33	4	30
1	480979	0	34	6	36
1	484669	0	33	6	33
1	487720	0	33	4	31
1	490510	0	34	13	43
1	493993	0	33	16	36
1	496891	0	33	16	33
1	499609	1	35	11	30
1	503191	1	33	8	30
1	506899	0	33	9	34
1	512002	0	34	8	33
1	517519	1	33	8	33
1	525583	1	33	6	31
1	533332	0	34	4	32
1	543196	0	33	5	34
1	554671	0	33	2	30
1	568981	1	35	1	34
1	583273	1	33	13	45
1	599041	0	32	11	30
1	613432	0	34	8	31
1	625951	0	33	5	30
1	635185	0	32	10	37
1	641035	0	35	7	32
1	643393	1	33	4	30
1	644140	1	33	1	30
1	643627	0	34	4	37
1	641836	1	34	3	33
1	638776	0	32	17	46
1	636022	0	34	14	31

1	570583	0	33	13	32
1	566515	0	33	13	33
1	563104	0	34	12	33
1	559468	0	33	9	30
1	553195	0	32	10	33
1	545392	0	35	7	32
1	538597	0	33	7	33
1	530308	0	33	6	32
1	521263	0	34	19	47
1	511282	0	33	3	17
1	500473	0	33	3	33
1	490195	0	33	17	47
1	479377	0	33	14	30
1	469747	0	33	12	31
1	461170	0	35	7	30
1	454087	0	32	9	34
1	448507	0	34	5	30
1	444043	0	33	8	36
1	440461	0	33	6	31
1	437545	0	33	2	29
1	436249	0	34	16	48
1	435268	0	33	3	20
1	435304	0	33	3	33
1	436537	0	34	15	46
1	437203	0	34	12	31
1	440443	0	32	9	29
1	442963	0	35	10	36
1	445843	0	33	4	27
1	448246	0	33	7	36
1	450766	0	34	3	30

1	453763	0	33	6	36
1	456544	0	33	5	32
1	458092	0	34	3	32
1	459622	1	32	1	30
1	459955	0	33	11	43
1	459334	0	34	9	32
1	455842	0	34	12	37
1	453241	0	32	13	33
