DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
71	0	1	0	361856	0	52439	48004
78	37	5	41	363008	0	52439	48004
88	44	3	42	362630	0	52438	48003
79	25	6	28	361415	0	52437	48002
69	55	2	51	354701	0	52438	48003
108	7	1	6	360038	0	52439	48004
87	77	5	81	325451	1	52438	48003
121	1	10	6	342092	0	52439	48004
88	35	4	29	304706	0	52438	48003
80	24	1	21	287156	0	52437	48002
78	32	2	33	285599	0	52439	48004
67	22	4	24	284681	0	52438	48003
61	28	5	29	283700	0	52439	48004
48	20	3	18	284375	0	52438	48003
40	25	7	29	283844	0	52439	48004
53	47	6	46	282980	0	52439	48004
41	20	3	17	282125	0	52438	48003
40	33	3	33	280658	0	52439	48004
46	39	4	40	279569	0	52439	48004
54	41	1	38	278363	0	52439	48004
50	30	5	34	278111	0	52438	48003
52	35	4	34	277832	0	52439	48004
70	51	2	49	278156	0	52439	48004
59	23	3	24	277994	0	52438	48003
73	47	4	48	277796	0	52439	48004
82	43	1	40	277481	0	52438	48003
85	36	5	40	277526	0	52439	48004
78	27	2	24	277859	0	52438	48003
78	33	3	34	278111	0	52439	48004
70	26	5	28	278507	0	52438	48003
67	31	4	30	279182	0	52439	48004
57	22	4	22	279398	0	52438	48003
68	44	6	46	279704	0	52439	48004
60	25	4	23	279947	0	52438	48003
67	40	4	40	279803	0	52439	48004
56	23	5	24	279893	0	52438	48003
63	40	6	41	280199	0	52439	48004
47	18	4	16	280577	0	52438	48003
40	26	2	24	280460	0	52439	48004
69	63	4	65	279920	0	52439	48004
57	20	5	21	279173	0	52438	48003
50	28	5	28	278804	0	52439	48004
62	45	5	45	278651	0	52439	48004
53	23	5	23	278282	0	52438	48003
47	29	6	30	277508	0	52438	48003
65	50	3	47	277112	0	52439	48004
61	29	2	28	277013	0	52438	48003
67	39	3	40	276347	0	52439	48004
55	22	4	23	276617	0	52438	48003
53	31	2	29	276185	0	52439	48004
62	43	3	44	275915	0	52439	48004
52	23	4	24	275501	0	52438	48003
54	35	3	34	275537	0	52438	48003
64	44	3	44	275141	0	52439	48004
75	44	3	44	274655	0	52438	48003
71	29	3	29	274115	0	52439	48004
60	24	2	23	274358	0	52438	48003
56	28	6	32	274853	0	52439	48004

66	43	3	40	275870	0	52437	48002
58	27	4	28	276473	0	52439	48004
49	24	3	23	277382	0	52438	48003
47	31	2	30	278066	0	52439	48004
66	53	1	52	278174	0	52439	48004
57	22	2	23	277985	0	52438	48003
59	36	6	40	277850	0	52439	48004
58	33	1	28	277598	0	52439	48004
52	26	2	27	277526	0	52438	48003
61	43	5	46	277274	0	52439	48004
67	40	5	40	277256	0	52439	48004
67	34	5	34	277427	0	52438	48003
64	30	5	30	277679	0	52439	48004
