UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement
02.34.45.585	7	0	0	0	0	0.5	0	0	40
02.34.46.596	2	18.981018981019	38.3686873126873	32.5834121184759	38.89	0.5	0.5000001	0	40
02.34.46.600	7	0	0	0	0	0.5	0	0	40
02.34.47.610	2	12.987012987013	26.2144975024975	28.2081502470992	39.23	0.5	0.45	0	40
02.34.47.614	7	0	0	0	0	0.5	0	0	40
02.34.48.622	2	16.983016983017	34.0428131868132	38.3012100841541	38.05	0.5	0.4	0	40
02.34.48.627	7	0	0	0	0	0.5	0	0	40
02.34.49.636	2	20.979020979021	42.6243596403596	33.5513240343142	38.34	0.5	0.35	0	40
02.34.49.641	7	0	0	0	0	0.5	0	0	40
02.34.50.652	2	16.983016983017	34.2895264735265	37.3170187046968	38.32	0.5	0.3	0	40
02.34.50.662	7	0	0	0	0	0.5	0	0	40
02.34.51.671	2	21.9560878243513	44.2387065868263	41.3800051968142	38.29	0.5	0.35	0	40
02.34.51.676	7	0	0	0	0	0.5	0	0	40
02.34.52.686	2	19	38.297328	30.4619051837946	39.01	0.5	0.3	0	40
02.34.52.696	7	0	0	0	0	0.5	0	0	40
02.34.53.705	2	20	40.247832	33.1887099561239	39.13	0.5	0.25	0	40
02.34.53.711	7	0	0	0	0	0.5	0	0	40
02.34.54.720	2	26.973026973027	54.2808071928072	31.998493836736	39.43	0.5	0.2	0	40
02.34.54.724	7	0	0	0	0	0.5	0	0	40
02.34.55.735	2	22.977022977023	46.2400879120879	37.808741271406	39.5	0.5	0.15	0	40
02.34.55.740	7	0	0	0	0	0.5	0	0	40
02.34.56.750	2	25.974025974026	52.2316963036963	39.4721340671833	39.76	0.5	0.1	0	40
02.34.56.754	7	0	0	0	0	0.5	0	0	40
02.34.57.765	2	28.9421157684631	58.1950898203593	34.2836355683134	40.51	0.5	0.05000001	0	40
02.34.57.770	7	0	0	0	0	0.5	0	0	40
02.34.58.780	2	29.97002997003	60.1898421578422	38.9069496908073	43.21	0.5	7.450581E-09	0	40
02.34.58.784	7	0	0	0	0	0.5	0	0	40
