UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement
02.27.49.758	7	0	0	0	0	0.5	0	0	0
02.27.50.768	3	0.998003992015968	3.16306586826347	93.2524319027669	299.57	0.5	0	0	0
02.27.50.773	7	0	0	0	0	0.5	0	0	0
02.27.51.782	3	0	0	93.2524319027669	299.57	0.5	0	0	0
02.27.51.786	7	0	0	254005381	508010762	0.5	0	0	0
02.27.52.797	3	1	3.130728	76.6262159513835	299.45	0.5	0	0	0
02.27.52.801	7	0	0	254005381	508010762	0.5	0	0	0
02.27.53.811	3	7	21.926616	59.4658298121202	299.45	0.5	0	0	0
02.27.53.815	7	0	0	254005381	508010762	0.5	0	0	0
02.27.54.825	3	3.996003996004	12.5171628371628	57.8416143632575	299.58	0.5	0	0	0
02.27.54.829	7	0	0	254005381	508010762	0.5	0	0	0
02.27.55.838	3	6.99300699300699	21.8917642357642	65.9128251122129	281.84	0.5	0	0	0
02.27.55.842	7	0	0	254005381	508010762	0.5	0	0	0
02.27.56.853	3	5.98802395209581	18.7080718562874	76.1861378923783	264.49	0.5	0	0	0
02.27.56.858	7	0	0	254005381	508010762	0.5	0	0	0
02.27.57.866	3	6	18.71316	58.7685334045684	246.29	0.5	0	0	0
02.27.57.870	7	0	0	254005381	508010762	0.5	0	0	0
02.27.57.875	11	0	0	0	0	0.5	0	0	0
02.27.58.886	3	12.987012987013	40.8636563436563	52.5097091146007	221.97	0.5	0	0	0
02.27.58.890	7	0	0	254005381	508010762	0.5	0	0	0
02.27.58.895	11	0	0	0	0	0.5	0	0	0
02.27.59.903	3	29	90.6852	43.7741134884017	131.37	0.5	0	0	0
02.27.59.908	7	0	0	254005381	508010762	0.5	0	0	0
02.27.59.912	11	0	0	0	0	0.5	0	0	0
02.28.00.922	3	31	96.792648	25.2867104265718	66.46	0.5	0	0	0
02.28.00.927	7	0	0	254005381	508010762	0.5	0	0	0
02.28.00.931	11	0	0	0	0	0.5	0	0	0
02.28.01.940	3	30	93.707712	43.2204842405798	40.68	0.5	0	0	0
02.28.01.944	7	0	0	254005381	508010762	0.5	0	0	0
02.28.01.948	11	0	0	0	0	0.5	0	0	0
02.28.02.959	3	30.969030969031	96.8011828171828	29.2806574153809	34.49	0.5	0	0	0
02.28.02.963	7	0	0	254005381	508010762	0.5	0	0	0
02.28.02.968	11	0	0	0	0	0.5	0	0	0
02.28.03.977	3	29.97002997003	93.5892827172827	24.4221189946687	31.47	0.5	0	0	0
02.28.03.981	7	0	0	254005381	508010762	0.5	0	0	0
02.28.03.985	11	0	0	0	0	0.5	0	0	0
02.28.04.995	3	29.97002997003	93.5546133866134	22.6119352669558	30.27	0.5	0	0	0
02.28.04.999	7	0	0	254005381	508010762	0.5	0	0	0
02.28.05.003	11	0	0	0	0	0.5	0	0	0
02.28.06.014	3	28.971028971029	90.5161318681319	49.006946263112	29.87	0.5	0	0	0
02.28.06.018	7	0	0	254005381	508010762	0.5	0	0	0
02.28.06.023	11	0	0	0	0	0.5	0	0	0
02.28.07.033	3	26.973026973027	84.2054025974026	157.388224076506	44.82	0.5	0	0	0
02.28.07.037	7	0	0	254005381	508010762	0.5	0	0	0
02.28.07.041	11	0	0	0	0	0.5	0	0	0
02.28.08.051	3	31.968031968032	99.8121878121878	122.415295775372	85.95	0.5	0	0	0
02.28.08.055	7	0	0	254005381	508010762	0.5	0	0	0
02.28.08.060	11	0	0	0	0	0.5	0	0	0
02.28.09.069	3	30.969030969031	96.7646433566433	91.8808436586593	113.62	0.5	0	0	0
02.28.09.073	7	0	0	254005381	508010762	0.5	0	0	0
02.28.09.078	11	0	0	0	0	0.5	0	0	0
02.28.10.087	3	30.969030969031	96.6433006993007	48.6777710318288	113.64	0.5	0	0	0
02.28.10.094	7	0	0	254005381	508010762	0.5	0	0	0
02.28.10.099	11	0	0	0	0	0.5	0	0	0
02.28.11.113	3	29.97002997003	93.6767472527472	32.5001178452176	74.4	0.5	0	0	0
02.28.11.117	7	0	0	254005381	508010762	0.5	0	0	0
02.28.11.122	11	0	0	0	0	0.5	0	0	0
02.28.12.132	3	29	90.515208	50.9278115234339	54.15	0.5	0	0	0
02.28.12.136	7	0	0	254005381	508010762	0.5	0	0	0
02.28.12.142	11	0	0	0	0	0.5	0	0	0
02.28.13.153	3	29.97002997003	93.4088871128871	43.362853766851	46.59	0.5	0	0	0
02.28.13.158	7	0	0	254005381	508010762	0.5	0	0	0
02.28.13.163	11	0	0	0	0	0.5	0	0	0
02.28.14.173	3	29.97002997003	93.5935984015984	30.037172795908	45.03	0.5	0	0	0
