DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
74	0	52	0	361848	1
83	39	36	23	363000	0
91	42	14	20	362622	0
85	28	7	21	361407	0
71	51	18	62	354693	1
109	6	33	21	360030	0
92	81	14	62	325443	1
131	6	29	21	342084	0
92	29	20	20	304698	0
81	21	20	21	287148	0
80	33	8	21	285591	0
71	24	6	22	284673	0
66	29	18	41	283692	0
51	18	20	20	284367	0
47	29	12	21	283836	0
59	46	8	42	282972	0
44	17	12	21	282117	0
43	33	20	41	280650	0
50	40	1	21	279561	0
55	38	4	41	278355	0
55	34	12	42	278103	0
56	34	19	41	277824	0
72	49	11	41	278148	0
62	24	8	21	277986	0
77	48	2	42	277788	0
83	40	4	42	277473	0
90	40	5	41	277518	0
80	24	1	20	277851	0
81	34	8	41	278103	0
75	28	21	41	278499	0
71	30	12	21	279174	0
61	22	10	20	279390	0
74	46	6	42	279696	0
64	23	5	22	279939	0
71	40	6	41	279795	0
61	24	4	22	279885	0
69	41	4	41	280191	0
51	16	9	21	280569	0
42	24	6	21	280452	0
73	65	3	62	279912	0
62	21	2	20	279165	0
55	28	16	42	278796	0
67	45	12	41	278643	0
58	23	10	21	278274	0
53	30	0	20	277500	0
68	47	16	63	277104	0
63	28	10	22	277005	0
70	40	11	41	276339	0
59	23	9	21	276609	0
55	29	1	21	276177	0
65	44	18	61	275907	0
56	24	16	22	275493	0
57	34	3	21	275529	0
67	44	21	62	275133	0
78	44	19	42	274647	0
74	29	11	21	274107	0
62	23	8	20	274350	0
62	32	18	42	274845	0
69	40	19	41	275862	0
62	28	12	21	276465	0
52	23	10	21	277374	0
49	30	1	21	278058	0

67	52	11	62	278166	0
59	23	9	21	277977	0
65	40	11	42	277842	0
59	28	3	20	277590	0
54	27	18	42	277518	0
66	46	13	41	277266	0
72	40	15	42	277248	0
72	34	2	21	277419	0
69	30	14	42	277671	0
53	18	18	22	277734	0
47	27	11	20	278382	0
67	52	21	62	278562	0
62	29	13	21	279066	0
53	24	10	21	279201	0
70	51	1	42	279912	0
52	16	5	20	280407	0
48	28	18	41	281019	0
61	47	12	41	281829	0
66	38	16	42	282306	0
60	28	9	21	282756	0
56	29	1	21	283170	0
58	36	6	41	283620	0
64	39	8	41	284250	0
58	26	2	20	284772	0
52	28	16	42	285195	0
64	46	11	41	285609	0
50	18	13	20	286176	0
51	35	21	43	286194	0
54	36	6	21	286401	0

70	50	18	62	286185	0
58	22	16	20	286410	0
52	28	9	21	286338	0
36	16	14	21	286410	0
31	29	6	21	286689	0
37	39	8	41	286932	0
54	50	19	61	287220	0
69	49	11	41	287661	0
60	23	9	21	288102	0
56	29	1	21	288138	0
68	46	16	61	288201	0
57	23	14	21	287877	0
54	30	5	21	287922	0
67	47	0	42	287274	0
50	16	5	21	286959	0
50	33	14	42	286491	0
62	46	9	41	286356	0
69	40	10	41	285933	0
61	23	8	21	285969	0
54	28	1	21	285780	0
61	40	2	41	285798	0
49	21	1	20	285645	0
56	41	1	41	285708	0
52	29	13	41	285213	0
58	39	15	41	284736	0
47	23	12	20	283881	0
48	34	19	41	283179	0
61	46	14	41	282612	0
67	41	14	41	282486	0
73	40	17	43	282603	0

76	34	4	21	283125	0
76	35	15	46	283512	0
60	17	19	21	283395	0
58	30	10	21	283332	0
47	23	7	20	283332	0
42	28	20	41	282531	0
49	40	1	21	282261	0
57	42	1	42	281424	0
52	28	14	41	280551	0
42	24	11	21	280245	0
70	61	11	61	279930	0
70	33	20	42	279921	0
66	30	11	21	279831	0
73	40	12	41	279768	0
56	17	16	21	279714	0
82	58	20	62	279534	0
70	23	18	21	279120	0
74	36	4	22	278607	0
63	23	1	20	278238	0
63	34	8	41	277959	0
52	23	6	21	277338	0
49	28	0	22	276744	0
67	51	10	61	276465	0
61	28	3	21	276240	0
50	23	1	21	275871	0
40	23	20	42	276024	0
36	29	11	20	275898	0
54	51	1	41	275700	0
55	35	8	42	276348	0
50	29	21	42	276402	0
48	30	12	21	276429	0

56	42	11	41	276393	0
62	39	13	41	276609	0
58	29	5	21	276564	0
40	16	10	21	276780	0
36	29	2	21	276771	0
48	45	19	62	276843	0
70	56	3	40	276825	0
60	23	1	21	276726	0
57	30	13	42	276978	0
56	33	21	41	276807	0
50	27	15	21	277113	0
66	49	7	41	276888	0
54	22	6	21	276861	0
55	34	13	41	277005	0
63	41	15	43	276717	0
52	23	12	20	276807	0
47	29	4	21	276915	0
72	57	9	62	277122	0
67	29	1	21	277338	0
56	23	18	40	277644	0
51	27	11	20	277932	0
52	35	18	42	278103	0
77	58	1	41	278571	0
60	17	5	21	278688	0
60	34	12	41	278904	0
56	29	4	21	278994	0
53	29	18	43	279372	0
64	46	13	41	279111	0
59	27	7	21	279327	0
66	40	9	42	279273	0

50	18	12	21	279471	0
58	41	12	41	279174	0
67	42	11	41	279210	0
56	23	8	20	279273	0
51	28	1	21	279264	0
73	56	6	61	279111	0
62	23	4	21	279102	0
58	28	16	40	279408	0
57	33	4	21	279345	0
52	29	16	41	279102	0
65	45	13	42	278886	0
61	29	5	21	278922	0
55	28	19	42	278706	0
60	39	20	40	278337	0
50	23	19	22	278607	0
57	40	20	41	278283	0
69	46	15	41	278328	0
63	28	8	21	278526	0
61	29	20	41	278949	0
49	23	19	22	279975	0
51	34	6	21	281892	0
67	50	17	61	283062	0
58	24	14	21	284070	0
64	39	15	40	283872	0
53	23	13	21	283602	0
53	33	1	21	282657	0
67	47	17	63	280686	0
50	17	20	20	277077	0
47	30	11	21	273261	0
62	48	4	41	268527	0
51	23	2	21	263766	0

46	29	14	41	260184	0
59	46	9	41	257619	0
32	39	11	41	254406	0
43	145	9	143	244380	0
43	132	20	143	248016	0
60	186	19	185	251175	0
40	45	15	41	251049	0
30	24	11	20	251220	0
48	117	17	123	252669	0
53	139	2	124	254199	0
44	91	15	104	254055	0

46	136	2	123	254748	0
48	68	16	82	255099	0
45	63	14	61	255243	0
39	28	8	22	254937	0
61	88	2	82	254784	0
50	23	19	40	254784	0
62	145	19	145	254037	0
71	109	13	103	253263	0
65	27	7	21	253056	0
54	23	5	21	253056	0
41	87	19	101	252705	0
47	39	1	21	252354	0
70	89	14	102	252435	0
53	17	18	21	252615	0
55	69	11	62	252480	0

52	30	2	21	252723	0
61	110	15	123	252840	0
63	102	16	103	252336	0
50	53	4	41	252381	0
57	73	13	82	252669	0
