DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
124	156	16	156	95258	0	50802	48004
118	94	16	94	96194	0	50802	48004

91	406	16	406	95051	0	50802	48004
113	156	16	156	95771	0	50802	48004

78	831	16	831	95510	0	50802	48004
120	109	16	109	95888	0	50802	48004
72	219	16	219	95366	0	50802	48004

150	578	16	578	95771	0	50802	48004
195	78	16	78	95645	0	50801	48003
160	32	15	31	95510	0	50802	48004
138	78	15	78	95771	0	50802	48004
90	285	15	285	95555	0	50802	48004
135	78	16	79	95465	0	50802	48004
95	94	15	93	95474	0	50802	48004
140	78	15	78	95843	0	50802	48004

124	284	15	284	95330	0	50802	48004
105	281	16	282	95519	0	50802	48004
56	84	13	81	95474	0	50802	48004
126	170	15	172	96041	0	50802	48004
199	140	16	141	95096	0	50802	48004
301	235	15	234	95186	0	50802	48004

298	31	15	31	95519	1	50800	48002
398	0	31	16	95195	1	50801	48003
280	15	32	16	95051	0	50799	48001
68	188	16	172	95033	0	50802	48004
113	78	16	78	95366	0	50802	48004
96	250	16	250	95384	0	50802	48004
95	266	15	265	94961	0	50802	48004

110	281	16	282	95024	0	50802	48004
90	547	15	546	95888	0	50802	48004
107	250	15	250	96005	0	50802	48004

63	156	16	157	95816	0	50802	48004
123	94	15	93	95942	0	50802	48004
135	78	16	79	96266	0	50802	48004
113	78	16	78	95906	0	50802	48004
238	192	15	191	95249	0	50802	48004
298	93	16	94	96464	0	50801	48003
311	47	16	47	95825	1	50800	48002
145	0	32	16	96050	0	50802	48004
124	313	15	296	95798	0	50802	48004

111	187	16	188	95555	0	50802	48004
89	78	16	78	95870	0	50802	48004
133	344	16	344	95411	0	50802	48004
78	78	16	78	95258	0	50802	48004
122	344	16	344	95771	0	50802	48004

80	125	16	125	95879	0	50802	48004
103	156	16	156	95078	0	50802	48004
116	346	16	346	95375	0	50802	48004
101	219	15	218	95150	0	50802	48004
110	109	16	110	95708	0	50802	48004
138	94	15	93	95375	0	50802	48004

129	125	15	125	96293	0	50802	48004
205	109	16	110	96518	0	50801	48003
100	63	15	62	95420	0	50802	48004
66	265	16	266	95915	0	50802	48004

80	547	16	547	95951	0	50802	48004
99	219	16	219	95573	0	50802	48004
126	94	15	93	95231	0	50802	48004
82	156	16	157	95681	0	50802	48004
137	188	16	188	95429	0	50802	48004
130	126	16	126	95843	0	50802	48004
246	16	15	15	95861	0	50801	48003
104	125	15	125	95303	0	50802	48004

127	390	16	391	94763	0	50802	48004
105	78	16	78	95384	0	50802	48004
117	78	16	78	95024	0	50802	48004
116	266	16	266	95168	0	50802	48004

97	281	16	281	95258	0	50802	48004
121	157	15	156	95312	0	50802	48004
152	265	16	266	95177	0	50802	48004
210	125	16	125	95618	0	50802	48004
260	16	15	15	94781	0	50801	48003
71	78	16	79	94970	0	50802	48004

126	422	15	421	95510	0	50802	48004
232	140	16	141	95573	0	50801	48003
131	532	15	531	95789	0	50802	48004
93	94	15	94	95735	0	50802	48004
82	156	15	156	95141	0	50802	48004

75	93	16	94	95195	0	50802	48004
102	94	16	94	95465	0	50802	48004
129	94	16	94	95510	0	50802	48004
57	94	15	93	95447	0	50802	48004
168	144	16	145	95645	0	50802	48004
195	94	15	93	96194	0	50802	48004
259	31	16	32	95789	0	50801	48003
67	109	16	109	95780	0	50802	48004
110	143	15	142	95681	0	50802	48004
120	109	16	110	95384	0	50802	48004

195	141	15	140	95933	0	50802	48004
120	125	15	125	95870	0	50802	48004
384	31	16	32	95843	0	50801	48003
333	16	15	15	95510	0	50800	48002
77	78	15	78	96212	0	50802	48004
89	78	16	79	96158	0	50802	48004
63	141	15	140	96437	0	50802	48004
123	93	16	94	96428	0	50802	48004
60	203	16	203	96185	0	50802	48004

82	157	15	156	96626	0	50802	48004
133	250	15	250	96500	0	50802	48004
77	78	15	78	96203	0	50802	48004
304	126	16	127	96554	1	50801	48003
171	0	31	15	96347	0	50802	48004
165	94	15	78	96059	0	50802	48004
101	203	16	204	96626	0	50802	48004
112	78	16	78	96113	0	50802	48004
171	125	16	125	96095	0	50802	48004

231	94	15	93	96707	0	50801	48003
74	109	16	110	96230	0	50802	48004
108	235	15	234	96995	0	50802	48004
69	94	31	110	95843	0	50802	48004
99	296	16	281	96329	0	50802	48004
84	219	16	219	95672	0	50802	48004

107	156	16	156	95501	0	50802	48004
84	110	15	109	95033	0	50802	48004
120	437	16	438	95384	0	50802	48004
163	109	16	109	95420	0	50802	48004
168	172	16	172	95609	1	50801	48003
202	0	32	16	95096	0	50802	48004

70	235	15	218	95285	0	50802	48004
162	125	15	125	95591	0	50802	48004
185	62	16	63	95348	0	50801	48003
