DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
1875	0	62	0	1355043	1
1891	42	62	42	1354917	0
2139	297	16	251	1353819	0
2255	133	5	122	1353135	0
2306	85	14	94	1353018	0

2997	724	0	710	1352505	0
3097	167	23	190	1345746	0
3117	55	20	52	1339635	0
3256	71	0	51	1349931	0

3273	116	21	137	1335666	0
3941	702	12	693	1330752	0
4012	104	25	117	1331085	0
4005	25	31	31	1332678	0
4002	31	32	32	1330275	0

4474	506	22	496	1333461	0
4595	187	6	171	1341750	0
4759	131	22	147	1338420	0
4880	187	16	181	1343172	0

4936	90	25	99	1343253	0
5173	271	14	260	1343487	0
5393	253	6	245	1343046	0
5521	161	22	177	1344765	0
5635	148	21	147	1345395	0

5837	235	16	230	1346016	0
6023	219	15	218	1346943	0
6058	68	20	73	1347357	0
6182	158	0	138	1348185	0
6209	60	14	74	1347933	0

6661	486	7	479	1348788	0
6725	97	7	97	1348392	0
6780	88	20	101	1348239	0
6816	70	22	72	1348986	0
6882	99	14	91	1349175	0
7003	189	7	182	1350318	0
7123	152	15	160	1349544	0
7258	169	19	173	1351056	0

7384	160	19	160	1351227	0
7546	195	7	183	1351596	0
7705	191	9	193	1351119	0
7855	184	15	190	1350696	0
7999	176	6	167	1351488	0
8151	186	12	192	1351299	0

8294	176	0	164	1349508	0
8429	169	15	184	1350291	0
8564	167	7	159	1349616	0
8729	199	20	212	1350192	0
8849	153	21	154	1352748	0

8985	170	19	168	1353720	0
9128	176	10	167	1354359	0
9280	185	0	175	1354035	0
9424	177	5	182	1353558	0
9559	169	20	184	1355349	0
9714	188	17	185	1353909	0

9852	172	16	171	1352919	0
9979	161	11	156	1351596	0
10132	186	10	185	1351146	0
10316	217	9	216	1351173	0
10446	163	6	160	1350678	0
10583	171	23	188	1350255	0

10710	159	8	144	1350984	0
10859	183	10	185	1351524	0
11006	181	21	192	1353162	0
11172	199	18	196	1354197	0
11309	171	14	167	1354485	0

11478	202	22	210	1354782	0
11643	199	15	192	1354683	0
11790	180	11	176	1354422	0
11933	177	24	190	1355925	0
12059	158	12	146	1354665	0
12220	195	6	189	1354323	0

12395	207	16	217	1354827	0
12519	157	25	166	1354935	0
12647	161	4	140	1354395	0
12785	173	24	193	1353153	0
12934	181	21	178	1353270	0

13116	216	15	210	1353306	0
13270	187	21	193	1353126	0
13416	179	17	175	1353396	0
13545	163	15	161	1352784	0
13684	174	5	164	1353396	0
13837	185	16	196	1353648	0

13985	182	20	186	1354260	0
14144	192	17	189	1354458	0
14268	157	21	161	1354044	0
14407	172	14	165	1353747	0
14546	172	7	165	1354665	0
14672	160	21	174	1354566	0

14812	174	20	173	1353801	0
14959	180	8	168	1354098	0
15105	178	14	184	1353738	0
15241	170	6	162	1353936	0
15402	195	4	193	1353090	0

15580	211	26	233	1352829	0
15730	184	6	164	1352136	0
15886	189	24	207	1352829	0
16036	183	5	164	1353252	0
16171	169	27	191	1352523	0

16339	202	12	187	1352523	0
16497	190	9	187	1352739	0
16650	186	15	192	1352523	0
16841	224	4	213	1352046	0
16982	174	16	186	1352217	0
17152	203	9	196	1353261	0

17281	164	9	164	1354260	0
17425	176	17	184	1355169	0
17582	191	7	181	1354962	0
17702	154	15	162	1355340	0
17859	189	9	183	1356348	0

17997	172	3	166	1356213	0
18131	167	4	168	1355916	0
18275	178	20	194	1355475	0
18415	173	22	175	1355259	0
18573	192	12	182	1356231	0
18698	157	16	161	1356825	0

18856	192	5	181	1355088	0
19019	196	21	212	1352163	0
19168	182	15	176	1346322	0
19327	194	4	183	1340985	0
19450	155	12	163	1338978	0
19589	172	25	185	1337385	0

19721	166	6	147	1336818	0
19844	157	10	161	1337160	0
19992	181	17	188	1340571	0
20139	181	4	168	1342128	0
20278	172	7	175	1342821	0
20400	154	10	157	1344702	0

20560	194	4	188	1344450	0
20693	167	9	172	1344207	0
20815	154	19	164	1345494	0
20950	169	16	166	1345548	0
21073	156	21	161	1346052	0
21223	184	6	169	1345593	0

21379	190	12	196	1344747	0
21545	199	4	191	1345926	0
21662	149	15	160	1346493	0
21781	154	4	143	1346007	0
21935	186	11	193	1345890	0

22084	183	8	180	1346277	0
22245	194	3	189	1344918	0
22370	159	20	176	1345647	0
22525	189	20	189	1345134	0
22653	161	25	166	1345782	0
22798	178	12	165	1345899	0

22940	175	19	182	1345737	0
23053	147	13	141	1345836	0
23198	178	23	188	1346376	0
23713	547	23	547	1346853	1

23684	5	42	24	1346511	0
23739	88	25	71	1346124	0
23856	150	14	139	1346178	0
23993	171	26	183	1346502	0
24140	180	10	164	1346547	0
24272	165	4	159	1346709	0
24390	152	12	160	1347366	0

24532	176	18	182	1347114	0
24689	189	16	187	1347870	0
24831	176	0	160	1347006	0
24979	183	6	189	1346961	0
25089	142	11	147	1347528	0
25216	161	7	157	1347546	0

25405	222	8	223	1348176	0
25504	132	15	139	1347636	0
25607	137	24	146	1348185	0
25757	183	0	159	1347870	0
25890	166	20	186	1347294	0
26042	186	5	171	1348437	0

26185	176	4	175	1347501	0
26307	155	11	162	1348347	0
26445	172	22	183	1347897	0
26620	207	24	209	1348257	0
26749	162	5	143	1347690	0
26879	164	0	159	1347879	0

27012	167	7	174	1348014	0
27166	186	15	194	1348185	0
27309	177	8	170	1347996	0
27432	157	0	149	1348086	0
27542	143	17	160	1347717	0
27686	177	6	166	1348221	0

27849	196	9	199	1347483	0
28062	246	8	245	1348491	0
28245	217	23	232	1347546	0
28438	226	18	221	1347492	0

28609	205	4	191	1346880	0
28762	186	20	202	1347708	0

29517	789	26	795	1347474	0
29690	206	19	199	1348356	0
29080	89	8	78	1347663	0
29160	147	25	164	1348122	0
29120	93	4	72	1347807	0
29129	77	4	77	1348059	0
29198	235	28	259	1347735	0

28845	413	4	389	1347618	0
28446	169	0	165	1346610	0
28357	78	15	93	1348302	0
27522	31	18	34	1347609	0
27513	126	5	113	1347168	0

27797	482	4	481	1347051	0
27625	129	15	140	1348185	0
26786	28	17	30	1346754	0
26622	35	15	33	1346673	0
26107	452	12	449	1347150	0
25282	174	23	185	1346538	0

24956	41	15	33	1347753	0
24820	30	11	26	1341804	0
24895	176	4	169	1320312	0
24991	395	0	391	1280100	0
24950	160	22	182	1292268	0
24847	30	23	31	1293357	0
23926	45	7	29	1296345	0

24043	251	22	266	1297362	0
24253	310	17	305	1298046	0
24276	257	15	255	1297596	0
24266	56	4	45	1297722	0
24156	56	18	70	1342578	0
23946	125	19	126	1340382	0

24101	422	7	410	1344288	0
24118	183	5	181	1342425	0
24117	65	18	78	1342263	0
23935	18	28	28	1345674	0
23173	105	15	92	1345206	0

23546	473	21	479	1344540	0
23098	119	0	98	1344468	0
22693	28	21	49	1345287	0
22587	28	18	25	1345134	0
21972	252	24	258	1344315	0

22360	455	21	452	1343622	0
21661	100	22	101	1344783	0
21623	29	25	32	1344135	0
21214	58	17	50	1335378	0
20377	228	23	234	1286832	0
20550	107	8	92	1285707	0
20665	248	5	245	1288056	0
19503	204	7	206	1290018	0

20930	127	5	125	1289145	0
20198	36	22	53	1290153	0
18503	138	11	127	1295427	0
17984	314	16	319	1298802	0
18922	138	20	142	1295886	0
18368	147	13	140	1299612	0
17876	42	24	53	1301610	0

17738	162	6	144	1302222	0
17648	209	8	211	1301898	0
18017	236	3	231	1302312	0
17695	144	10	151	1302906	0
17519	58	7	55	1302960	0
17580	228	6	227	1303716	0

17792	145	9	148	1302519	0
17824	266	19	276	1302546	0
16579	220	11	212	1345989	0
18042	163	5	157	1302204	0
17787	46	8	49	1297443	0
16780	125	4	121	1348941	0

16329	350	20	366	1347681	0
17021	158	5	143	1348851	0
16822	167	8	170	1347663	0
16412	24	17	33	1347717	0
15901	155	7	145	1351353	0

15455	223	14	230	1351551	0
13913	390	15	391	1352280	0
16581	368	7	360	1352676	0
15771	223	12	228	1352631	0

15323	853	4	845	1351947	0
15117	27	8	31	1352199	0
14740	24	15	31	1351506	0
14521	80	8	73	1351758	0

14574	186	7	185	1351524	0
14411	170	0	163	1351911	0
14110	165	22	187	1352019	0
13698	156	16	150	1346547	0
16300	35	15	34	1351785	0
13447	114	17	116	1342929	0
13375	160	19	162	1343901	0

12801	161	28	170	1346754	0
12833	164	22	158	1345422	0
12625	159	7	144	1343991	0
12703	144	5	142	1343676	0
12491	156	7	158	1301475	0
12128	170	21	184	1299144	0

12259	397	10	386	1323300	0
12109	117	16	123	1354170	0
12081	146	12	142	1353864	0
