DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
1860	0	5	0	1355051	0	53249	48004
1883	49	8	52	1354925	0	53248	48003
2135	301	4	297	1353827	0	53247	48002

2250	132	5	133	1353143	0	53246	48001
2299	83	7	85	1353026	0	53245	48000
2993	727	4	724	1352513	0	53245	48000

3092	166	5	167	1345754	0	53248	48003
3112	55	5	55	1339643	0	53247	48002
3250	70	6	71	1349939	0	53249	48004
3265	114	8	116	1335674	0	53246	48001
3931	700	10	702	1330760	0	53249	48004

4007	109	5	104	1331093	0	53248	48003
3995	20	10	25	1332686	0	53247	48002
3993	32	9	31	1330283	0	53246	48001
4466	507	8	506	1333469	0	53249	48004
4590	190	5	187	1341758	0	53247	48002
4755	132	4	131	1338428	0	53248	48003

4874	185	6	187	1343180	0	53246	48001
4930	90	6	90	1343261	0	53249	48004
5169	273	4	271	1343495	0	53248	48003
5392	256	1	253	1343054	0	53247	48002
5519	160	2	161	1344773	0	53246	48001

5627	142	8	148	1345403	0	53249	48004
5833	239	4	235	1346024	0	53248	48003
6020	220	3	219	1346951	0	53247	48002
6056	69	2	68	1347365	0	53246	48001
6176	154	6	158	1348193	0	53249	48004
6206	63	3	60	1347941	0	53248	48003

6653	481	8	486	1348796	0	53247	48002
6718	98	7	97	1348400	0	53246	48001
6776	91	4	88	1348247	0	53249	48004
6813	71	3	70	1348994	0	53248	48003
6875	95	7	99	1349183	0	53247	48002
7000	193	3	189	1350326	0	53245	48000
7121	153	2	152	1349552	0	53245	48000

7254	167	4	169	1351064	0	53245	48000
7382	162	2	160	1351235	0	53245	48000
7545	196	1	195	1351604	0	53245	48000
7700	187	5	191	1351127	0	53245	48000
7848	182	7	184	1350704	0	53245	48000

7990	174	9	176	1351496	0	53245	48000
8144	188	7	186	1351307	0	53245	48000
8291	180	3	176	1349516	0	53245	48000
8426	169	3	169	1350299	0	53245	48000
8560	166	4	167	1349624	0	53245	48000
8726	200	3	199	1350200	0	53245	48000

8845	152	4	153	1352756	0	53245	48000
8981	170	4	170	1353728	0	53245	48000
9125	177	3	176	1354367	0	53245	48000
9273	181	7	185	1354043	0	53245	48000
9419	179	5	177	1353566	0	53245	48000
9553	168	6	169	1355357	0	53245	48000

9711	191	3	188	1353917	0	53245	48000
9844	167	8	172	1352927	0	53245	48000
9975	165	4	161	1351604	0	53245	48000
10124	182	8	186	1351154	0	53245	48000
10313	222	3	217	1351181	0	53245	48000

10440	160	6	163	1350686	0	53245	48000
10578	172	5	171	1350263	0	53245	48000
10704	158	6	159	1350992	0	53245	48000
10851	181	8	183	1351532	0	53245	48000
11000	183	6	181	1353170	0	53245	48000
11169	202	3	199	1354205	0	53245	48000

11305	170	4	171	1354493	0	53245	48000
11468	196	10	202	1354790	0	53245	48000
11634	200	9	199	1354691	0	53245	48000
11782	181	8	180	1354430	0	53245	48000
11926	178	7	177	1355933	0	53245	48000

12055	161	4	158	1354673	0	53245	48000
12213	192	7	195	1354331	0	53245	48000
12387	206	8	207	1354835	0	53245	48000
12515	161	4	157	1354943	0	53245	48000
12643	161	4	161	1354403	0	53245	48000
12783	175	2	173	1353161	0	53245	48000

12930	179	4	181	1353278	0	53245	48000
13113	217	3	216	1353314	0	53245	48000
13267	187	3	187	1353134	0	53245	48000
13415	181	1	179	1353404	0	53245	48000
13538	157	7	163	1352792	0	53245	48000
13681	178	3	174	1353404	0	53245	48000

13829	180	8	185	1353656	0	53245	48000
13981	186	4	182	1354268	0	53245	48000
14140	192	4	192	1354466	0	53245	48000
14268	161	0	157	1354052	0	53245	48000
14402	167	5	172	1353755	0	53245	48000

14543	174	3	172	1354673	0	53245	48000
14664	155	8	160	1354574	0	53245	48000
14808	178	4	174	1353809	0	53245	48000
14951	176	8	180	1354106	0	53245	48000
15101	182	4	178	1353746	0	53245	48000
15232	165	9	170	1353944	0	53245	48000

15397	199	5	195	1353098	0	53245	48000
15570	206	10	211	1352837	0	53245	48000
15726	190	4	184	1352144	0	53245	48000
15883	190	3	189	1352837	0	53245	48000
16032	182	4	183	1353260	0	53245	48000

16167	169	4	169	1352531	0	53245	48000
16337	204	2	202	1352531	0	53245	48000
16489	184	8	190	1352747	0	53245	48000
16649	193	1	186	1352531	0	53245	48000
16830	214	8	221	1352054	0	53245	48000

16980	183	2	177	1352225	0	53245	48000
17146	199	6	203	1353269	0	53245	48000
17277	166	4	164	1354268	0	53245	48000
17417	172	8	176	1355177	0	53245	48000
17574	191	8	191	1354970	0	53245	48000
17695	155	7	154	1355348	0	53245	48000

17856	193	3	189	1356356	0	53245	48000
17995	173	2	172	1356221	0	53245	48000
18131	169	0	167	1355924	0	53245	48000
18270	173	5	178	1355483	0	53245	48000
18413	176	2	173	1355267	0	53245	48000
18565	186	8	192	1356239	0	53245	48000

18691	158	7	157	1356833	0	53245	48000
18850	193	6	192	1355096	0	53245	48000
19009	192	10	196	1352171	0	53245	48000
19159	183	9	182	1346330	0	53245	48000
19318	194	9	194	1340993	0	53245	48000

19446	160	4	155	1338986	0	53245	48000
19589	176	0	172	1337393	0	53245	48000
19717	162	4	166	1336826	0	53245	48000
19840	157	4	157	1337168	0	53245	48000
19988	181	4	181	1340579	0	53245	48000
20130	176	9	181	1342136	0	53245	48000

20269	172	9	172	1342829	0	53245	48000
20399	162	1	154	1344710	0	53245	48000
20552	187	8	194	1344458	0	53245	48000
20689	171	4	167	1344215	0	53245	48000
20811	154	4	154	1345502	0	53245	48000
20942	165	8	169	1345556	0	53245	48000

21065	156	8	156	1346060	0	53245	48000
21216	185	7	184	1345601	0	53245	48000
21376	194	3	190	1344755	0	53245	48000
21538	195	7	199	1345934	0	53245	48000
21659	153	3	149	1346501	0	53245	48000
21778	154	3	154	1346015	0	53245	48000

21931	185	4	186	1345898	0	53245	48000
22080	183	4	183	1346285	0	53245	48000
22232	185	13	194	1344926	0	53245	48000
22367	169	3	159	1345655	0	53245	48000
22522	189	3	189	1345142	0	53245	48000
22646	157	7	161	1345790	0	53245	48000

22792	179	6	178	1345907	0	53245	48000
22937	178	3	175	1345745	0	53245	48000
23046	143	7	147	1345844	0	53245	48000
23191	178	7	178	1346384	0	53245	48000

23703	544	10	547	1346861	0	53245	48000
23681	12	3	5	1346519	0	53245	48000
23732	84	7	88	1346132	0	53245	48000
23847	148	9	150	1346186	0	53245	48000
23985	172	8	171	1346510	0	53245	48000
24136	184	4	180	1346555	0	53245	48000
24266	163	6	165	1346717	0	53245	48000

24383	151	7	152	1347374	0	53245	48000
24530	181	2	176	1347122	0	53245	48000
24682	184	7	189	1347878	0	53245	48000
24827	179	4	176	1347014	0	53245	48000
24971	179	8	183	1346969	0	53245	48000
25085	146	4	142	1347536	0	53245	48000

25213	162	3	161	1347554	0	53245	48000
25400	220	5	222	1348184	0	53245	48000
25497	130	7	132	1347644	0	53245	48000
25602	139	5	137	1348193	0	53245	48000
25748	179	9	183	1347878	0	53245	48000
25885	170	5	166	1347302	0	53245	48000

26038	187	4	186	1348445	0	53245	48000
26175	170	10	176	1347509	0	53245	48000
26305	163	2	155	1348355	0	53245	48000
26444	173	1	172	1347905	0	53245	48000
26613	201	7	207	1348265	0	53245	48000

26747	167	2	162	1347698	0	53245	48000
26870	157	9	164	1347887	0	53245	48000
27007	171	5	167	1348022	0	53245	48000
27158	183	8	186	1348193	0	53245	48000
27305	181	4	177	1348004	0	53245	48000
27429	158	3	157	1348094	0	53245	48000

27537	141	5	143	1347725	0	53245	48000
27679	175	7	177	1348229	0	53245	48000
27847	201	2	196	1347491	0	53245	48000
28053	239	9	246	1348499	0	53245	48000
28238	219	7	217	1347554	0	53245	48000

28436	231	2	226	1347500	0	53245	48000
28602	200	7	205	1346888	0	53245	48000
28762	193	0	186	1347716	0	53245	48000

29510	782	7	789	1347482	0	53245	48000
29686	209	4	206	1348364	0	53245	48000
29071	84	9	89	1347671	0	53249	48004
29156	152	4	147	1348130	0	53248	48003
29114	91	6	93	1347815	0	53247	48002
29122	76	7	77	1348067	0	53246	48001

29189	233	9	235	1347743	0	53249	48004
28841	418	4	413	1347626	0	53248	48003
28443	170	3	169	1346618	0	53247	48002
28352	76	5	78	1348310	0	53246	48001
27517	31	5	31	1347617	0	53249	48004
27505	123	8	126	1347176	0	53248	48003

27787	480	10	482	1347059	0	53247	48002
27621	135	4	129	1348193	0	53246	48001
26777	23	9	28	1346762	0	53249	48004
26612	34	10	35	1346681	0	53248	48003

26102	457	5	452	1347158	0	53247	48002
25281	178	1	174	1346546	0	53246	48001
24949	35	7	41	1347761	0	53249	48004
24818	35	2	30	1341812	0	53248	48003
24887	170	8	176	1320320	0	53247	48002
24984	396	7	395	1280108	0	53246	48001

24949	166	1	160	1292276	0	53249	48004
24840	24	7	30	1293365	0	53248	48003
23922	48	4	45	1296353	0	53247	48002
24039	251	4	251	1297370	0	53246	48001
24248	309	5	310	1298054	0	53249	48004
24269	255	7	257	1297604	0	53248	48003
24261	58	5	56	1297730	0	53247	48002

24150	55	5	55	1342586	0	53246	48001
23942	127	4	126	1340390	0	53249	48004
24097	422	4	422	1344296	0	53248	48003
24109	178	9	183	1342433	0	53247	48002
24110	67	7	65	1342271	0	53246	48001
23931	21	4	18	1345682	0	53249	48004
23168	104	5	105	1345214	0	53248	48003

23543	475	3	473	1344548	0	53247	48002
23090	114	8	119	1344476	0	53246	48001
22684	27	9	28	1345295	0	53249	48004
22584	34	3	28	1345142	0	53248	48003
21965	248	7	252	1344323	0	53247	48002

22353	455	7	455	1343630	0	53246	48001
21651	97	10	100	1344791	0	53249	48004
21620	36	3	29	1344143	0	53248	48003
21210	57	4	58	1335386	0	53247	48002
20369	224	8	228	1286840	0	53249	48004
20545	110	5	107	1285715	0	53246	48001

20661	249	4	248	1288064	0	53248	48003
19496	201	7	204	1290026	0	53249	48004
20924	128	6	127	1289153	0	53247	48002
20194	38	4	36	1290161	0	53246	48001
18494	133	9	138	1295435	0	53248	48003
17975	314	9	314	1298810	0	53249	48004
18914	139	8	138	1295894	0	53247	48002

18364	151	4	147	1299620	0	53246	48001
17872	42	4	42	1301618	0	53248	48003
17733	161	5	162	1302230	0	53247	48002
17641	207	7	209	1301906	0	53249	48004
18012	238	5	236	1302320	0	53246	48001
17691	145	4	144	1302914	0	53248	48003
17511	54	8	58	1302968	0	53247	48002

17576	232	4	228	1303724	0	53249	48004
17790	147	2	145	1302527	0	53246	48001
17818	262	6	266	1302554	0	53248	48003
16570	217	9	220	1345997	0	53249	48004

18032	162	10	163	1302212	0	53247	48002
17783	52	4	46	1297451	0	53246	48001
16775	124	5	125	1348949	0	53248	48003
16327	353	2	350	1347689	0	53249	48004
17013	152	8	158	1348859	0	53247	48002
16816	169	6	167	1347671	0	53246	48001
16408	26	4	24	1347725	0	53248	48003

15893	151	8	155	1351361	0	53247	48002
15449	225	6	223	1351559	0	53249	48004
13904	387	9	390	1352288	0	53245	48000

16576	372	5	368	1352684	0	53246	48001
15763	220	8	223	1352639	0	53248	48003

15313	851	10	853	1351955	0	53245	48000
15109	29	8	27	1352207	0	53245	48000
14733	25	7	24	1351514	0	53245	48000
14519	85	2	80	1351766	0	53245	48000
14570	184	4	186	1351532	0	53245	48000
14410	173	1	170	1351919	0	53245	48000
14101	157	9	165	1352027	0	53245	48000
13695	162	3	156	1346555	0	53245	48000
16291	29	9	35	1351793	0	53249	48004

13443	119	4	114	1342937	0	53245	48000
13371	160	4	160	1343909	0	53245	48000
12796	160	5	161	1346762	0	53245	48000
12824	160	9	164	1345430	0	53245	48000
12615	158	10	159	1343999	0	53245	48000
12699	150	4	144	1343684	0	53245	48000
12487	156	4	156	1301483	0	53245	48000

12123	169	5	170	1299152	0	53245	48000
12256	399	3	397	1323308	0	53245	48000
12102	113	7	117	1354178	0	53245	48000
12075	147	6	146	1353872	0	53245	48000
12005	190	6	190	1353854	0	53245	48000

12121	183	4	181	1352981	0	53245	48000
11691	203	8	207	1341596	0	53245	48000
10836	178	2	172	1345763	0	53245	48000
10985	183	8	189	1346222	0	53245	48000
10688	169	6	167	1344584	0	53245	48000

10846	191	9	194	1345160	0	53245	48000
10626	181	10	182	1342982	0	53245	48000
10773	212	8	210	1343927	0	53245	48000
10483	178	8	178	1342955	0	53245	48000
9677	327	8	327	1342775	0	53245	48000

8552	241	6	239	1344485	0	53247	48002
9786	34	4	32	1342946	0	53245	48000
