DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
1463	0	7	0	332327	0	53175	48004
1526	135	8	136	333794	1	53175	48004
1591	3	15	10	333686	0	53174	48003
1540	77	4	66	334109	0	53175	48004
1648	8	6	10	333344	0	53173	48002
1616	34	5	33	333749	0	53172	48001
1595	46	3	44	333209	0	53171	48000
1614	86	4	87	333812	0	53175	48004
1742	94	3	93	333605	0	53171	48000
1744	69	9	75	333713	1	53174	48003
1715	5	10	6	333704	1	53173	48002
1688	6	14	10	333830	1	53172	48001
1663	8	13	7	333731	0	53171	48000
1658	62	7	56	333191	0	53175	48004
1664	39	4	36	332930	0	53175	48004
1756	25	5	26	333506	0	53171	48000
1717	61	7	63	333083	0	53175	48004
1716	33	4	30	333578	0	53175	48004

1687	71	0	67	336530	0	53174	48003
1699	44	6	50	336773	0	53173	48002
1709	44	1	39	336953	0	53172	48001
1726	51	8	58	336431	0	53171	48000
1913	19	4	15	334739	0	53175	48004
1941	63	3	62	335846	0	53175	48004
1819	44	3	44	336665	0	53175	48004
1829	43	5	45	336485	0	53175	48004
1854	58	5	58	335621	0	53174	48003
1852	32	4	31	335387	0	53173	48002
1871	52	3	51	335333	0	53171	48000
1883	46	5	48	334307	0	53171	48000
1889	39	2	36	337097	0	53171	48000
1851	62	5	65	343640	0	53175	48004
1864	46	4	45	338069	0	53174	48003
1891	61	6	63	328925	0	53173	48002
1898	40	7	41	315614	0	53172	48001
1894	30	3	26	308081	0	53175	48004
1910	48	5	50	308900	0	53174	48003
2171	28	5	28	340373	0	53171	48000
1978	73	3	71	308621	0	53173	48002
1979	34	10	41	308045	0	53172	48001
1983	39	6	35	310871	0	53175	48004
1989	38	1	33	310376	0	53174	48003

1987	32	3	34	309422	0	53173	48002
2001	81	5	83	300494	0	53175	48004
2015	80	6	81	289874	0	53173	48002
2059	11	2	7	294410	0	53174	48003
2536	11	7	16	343919	0	53171	48000
2004	34	5	32	281936	0	53171	48000
2184	14	8	17	307532	0	53172	48001
2083	31	7	30	285752	0	53172	48001
2038	22	6	21	278345	0	53171	48000
1978	41	4	39	269525	0	53175	48004
1984	39	9	44	267833	0	53174	48003
1979	27	7	25	267356	0	53173	48002
1980	36	4	33	266627	0	53172	48001
1975	29	7	32	266303	0	53175	48004
1981	38	8	39	264782	0	53174	48003
1975	28	6	26	263747	0	53173	48002
1982	40	4	38	263072	0	53172	48001
1976	27	8	31	262649	0	53175	48004
1977	35	3	30	262262	0	53174	48003
1977	33	1	31	262091	0	53173	48002
1940	30	3	32	262694	0	53175	48004
2500	93	3	93	275213	0	53171	48000
2094	27	6	30	262325	0	53172	48001
1996	68	5	67	263306	1	53175	48004
2567	5	8	8	272216	1	53171	48000
2104	4	11	7	262649	0	53174	48003
1994	22	5	16	264035	1	53174	48003
2095	1	9	5	262550	0	53173	48002
2085	24	1	16	263180	0	53172	48001
2015	31	8	38	264665	0	53175	48004

2004	22	5	19	265214	0	53174	48003
2007	35	3	33	266006	0	53173	48002
1997	24	6	27	266474	0	53172	48001
2002	38	7	39	268058	0	53171	48000
1995	26	8	27	267329	0	53171	48000
1990	30	8	30	266339	0	53171	48000
1989	31	6	29	264980	0	53171	48000
1986	31	2	27	264458	0	53171	48000
1978	26	7	31	263225	0	53171	48000
1979	33	5	31	262811	0	53171	48000
1976	31	3	29	262541	0	53171	48000
1914	38	1	36	263189	0	53175	48004
1908	28	0	27	264017	0	53174	48003
1916	41	5	46	265277	0	53173	48002
1912	29	4	28	266258	0	53172	48001
1914	36	3	35	267491	0	53175	48004
1921	39	2	38	268733	0	53174	48003
1918	32	6	36	269777	0	53173	48002
1918	32	10	36	271370	0	53172	48001
1914	29	4	23	273089	0	53175	48004
1934	53	7	56	274844	0	53174	48003
1917	17	10	20	276509	0	53173	48002
1932	49	4	43	278894	0	53172	48001
1940	41	10	47	280973	0	53175	48004
1937	30	5	25	284213	0	53174	48003
1978	75	8	78	287237	1	53175	48004
2514	3	15	10	262289	0	53171	48000
2520	39	1	25	262505	0	53171	48000
2013	26	5	30	290549	0	53175	48004
2009	30	7	32	293024	0	53175	48004

2016	40	9	42	294824	0	53174	48003
2031	48	5	44	296903	0	53173	48002
2048	51	3	49	297281	0	53172	48001
2049	34	7	38	296696	0	53171	48000
2058	42	5	40	296183	0	53171	48000
2062	38	4	37	294077	0	53171	48000
2068	39	8	43	291656	0	53171	48000
2056	21	3	16	289037	0	53171	48000
2055	33	4	34	285311	0	53171	48000
2056	34	4	34	282107	0	53171	48000
2023	34	4	34	273836	0	53175	48004
2017	26	4	26	270182	0	53174	48003
2035	51	4	51	267284	0	53173	48002
2026	26	5	27	265340	0	53172	48001
2020	26	9	30	265376	0	53175	48004
2033	47	4	42	265952	0	53174	48003
2037	37	3	36	267860	0	53173	48002
2032	29	7	33	270407	0	53172	48001
2031	31	4	28	273359	0	53175	48004
2029	32	3	31	276167	0	53174	48003
2024	29	4	30	279317	0	53173	48002
2028	37	4	37	281999	0	53172	48001
2027	33	8	37	284663	0	53175	48004
2041	47	10	49	286382	0	53174	48003
2043	35	1	26	287444	0	53173	48002
2021	45	8	52	290279	0	53175	48004
2616	27	3	22	278120	0	53171	48000
2055	40	7	44	291359	0	53175	48004

2069	47	8	48	292106	0	53174	48003
2193	25	3	20	288992	0	53172	48001
2065	5	7	9	292637	0	53175	48004
2072	39	4	36	292313	0	53175	48004
2062	25	7	28	291566	0	53174	48003
2071	41	4	38	291449	0	53173	48002
2075	37	5	38	291098	0	53172	48001
2088	47	7	49	291161	0	53171	48000
2126	71	2	66	291251	0	53171	48000
2162	69	6	73	290621	0	53171	48000
2188	61	7	62	289964	0	53171	48000
2221	66	7	66	290306	0	53171	48000
2241	53	3	49	289919	0	53171	48000
2268	61	6	64	290099	0	53171	48000
2279	44	0	38	290189	0	53171	48000
2299	53	6	59	290828	0	53171	48000
2202	69	7	70	293060	0	53175	48004
2206	37	7	37	292952	0	53174	48003
2205	33	8	34	293330	0	53173	48002
2215	43	5	40	292997	0	53172	48001
2213	32	5	32	293465	0	53175	48004
