Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	UTC
 
5	12.987012987013	34.6574145854146	1671.685546875	1592.77777777778	0.800000011920929	0	08.57.27.273
5	20.8955223880597	56.1701014925373	1865.63501616544	1724.34375	0.800000011920929	0	08.57.28.279
5	26.973026973027	62.8012627372627	1979.96384799208	1855.54237288136	0.800000011920929	0	08.57.29.282
5	31.8725099601594	67.6545179282869	1918.04930799686	1912.31868131868	0.800000011920929	0	08.57.30.288
5	26.9461077844311	60.730994011976	2028.71234375275	1996.26	0.800000011920929	0	08.57.31.292
5	22.8855721393035	52.7304835820895	2215.85253255702	2051.76	0.800000011920929	0	08.57.32.301
5	27.9162512462612	65.3609491525424	2291.88345643658	2106.3	0.800000011920929	0	08.57.33.308
5	24.8262164846077	58.5024905660377	2627.79602037471	2217	0.800000011920929	0	08.57.34.316
5	22.8628230616302	53.1147196819086	2669.05827065694	2398.17	0.800000011920929	0	08.57.35.322
5	26.9192422731805	63.1900857427717	2892.01835584814	2571.43	0.800000011920929	0	08.57.36.327
5	7.95228628230616	18.5535029821074	2925.22754802532	2674.08	0.800000011920929	0	08.57.37.334
5	1.99203187250996	4.63092430278884	4868.40344350316	2747.51	0.800000011920929	0	08.57.38.339
5	0.99403578528827	2.29879920477137	5778.35086087579	2824.18	0.800000011920929	0	08.57.39.346
5	0	0	5778.35086087579	2824.18	0.800000011920929	0	08.57.40.349
5	0	0	5778.35086087579	2824.18	0.800000011920929	0	08.57.41.352
5	0	0	5778.35086087579	2824.18	0.800000011920929	0	08.57.42.356
