DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
-510	0	26	0	354378	1
-510	10	52	36	359724	0
-520	85	13	46	362460	0
-406	56	21	64	360237	1
-421	9	38	26	361110	0
-416	72	17	51	363108	0

-288	161	12	156	364269	0
-264	58	22	68	365061	1
-287	10	35	23	365970	1
-296	24	36	25	366348	2
-310	19	40	23	366510	1
-336	7	57	24	365781	0
-347	156	15	114	350238	0
-168	45	14	44	365871	0
-185	51	14	51	372333	0
-177	41	16	43	363981	2
-235	8	34	26	338313	2
-98	5	54	25	369453	1
-257	7	69	22	328539	0
-218	105	8	44	324318	0
-215	37	16	45	322392	1
-141	7	31	22	326181	0
-204	38	19	26	321870	0
-228	42	23	46	319737	0
-161	34	18	29	321330	0
-175	53	9	44	318585	0
-189	19	12	22	317118	0
-168	54	5	47	315093	0
-162	40	12	47	313500	0

-156	38	16	42	312402	0
-152	39	25	48	311835	0
-146	72	23	70	311772	0
-128	84	8	69	312753	0
-130	32	20	44	312888	1
12	9	34	23	311061	0
-20	34	25	25	312069	1
-109	11	38	24	313518	0
-98	45	17	24	313878	0
-84	47	16	46	313932	0
-81	35	4	23	313797	0
-83	32	17	45	314652	0
-94	56	9	48	315174	0
-35	25	7	23	314562	0
-116	86	12	91	316416	0
-119	30	10	28	316731	0
55	42	18	50	315111	0
41	18	25	25	316074	0
51	44	3	22	316317	0
-35	14	12	23	316587	0
-29	39	26	53	316722	0
90	152	17	143	317334	0

136	79	6	68	316704	0
229	127	14	135	316416	0
229	34	6	26	316191	0
251	54	16	64	314823	0
252	35	4	23	313896	0
266	47	22	65	312600	0
229	30	13	21	310629	0
28	33	7	27	299865	0
-91	47	7	47	289578	0
-300	24	8	25	293331	0
-635	66	6	64	298308	0
-604	98	22	114	300954	0
-576	360	25	363	304410	0

-575	68	5	48	303870	0
-634	108	11	114	303708	0
-628	106	22	117	304041	0
-609	53	16	47	304410	0
-611	131	18	133	304293	0
-642	435	16	433	304869	0

-586	257	15	256	305022	0
-578	40	0	25	305391	0
-591	154	14	168	305796	0
-623	101	6	93	305328	0
-627	197	21	212	305256	0
-617	109	0	88	305544	0
-639	45	23	68	305859	0
-594	211	19	207	306966	0

-615	113	15	109	307956	0
-468	314	5	304	308595	0
-448	186	21	202	308532	0
-570	145	14	138	308595	0
-570	33	6	25	308523	0

-606	698	25	717	309036	0
-612	60	10	45	309342	0
-607	138	4	132	309090	0
-614	60	10	66	309261	0
-630	151	15	156	309252	0
-596	100	7	92	309099	0

-618	378	6	377	309225	0
-594	58	23	75	309261	0
-601	260	15	252	309090	0

-604	430	5	420	308577	0
-590	114	9	118	309045	0
-591	32	21	44	309198	0
-597	161	25	165	308910	0
-590	207	3	185	308937	0
-595	28	23	48	308901	0
-629	199	10	186	309162	0

-619	377	7	374	309063	0
-593	59	24	76	308991	0
-604	24	21	21	308901	0
-610	93	18	90	308775	0
-612	199	0	181	308685	0
-624	57	18	75	308721	0
-602	252	16	250	302736	0

-622	580	0	564	294096	0
-606	282	22	304	291612	0
-616	191	12	181	283665	0

-606	243	8	239	287967	0
-602	37	20	49	289848	0
-594	108	6	94	291810	0
-598	430	13	437	310305	0
-583	48	14	49	312276	0
-626	90	18	94	311655	0

-617	209	7	198	303699	0
-613	304	20	317	294933	0
-601	146	18	144	289839	0
-637	130	4	116	284880	0
-599	105	16	117	283359	0
-640	92	14	90	283737	0

-641	233	15	234	308280	0
-620	154	21	160	314769	0
-585	202	4	185	308613	0
-636	49	4	49	304347	0
-608	62	12	70	302556	0
-622	52	6	46	298911	0
-633	189	8	191	295869	0

-622	210	4	206	305994	0
-591	98	18	112	308784	0
-602	57	12	51	309243	0
-619	349	12	349	304815	0
-623	62	16	66	304833	0
-622	101	7	92	306030	0
-588	302	13	308	313896	0

-606	148	4	139	314013	0
-631	109	8	113	312348	0
-622	109	18	119	312195	0
-602	252	15	249	310845	0
-616	54	8	47	310404	0
-638	143	4	139	309144	0
-597	108	12	116	308676	0

-619	245	4	237	308730	0
-625	228	23	247	306894	0
-590	67	23	67	306543	0
-618	140	16	133	306345	0
-623	62	17	63	306336	0
-625	197	12	192	306111	0

-629	762	12	762	306174	0
-625	104	24	116	306075	0
-595	64	6	46	305940	0
-602	60	15	69	305670	0
-604	64	21	70	305283	0

-636	268	0	247	306012	0
-638	98	18	116	305445	0
-628	111	17	110	305607	0
-644	417	7	407	306012	0
-610	167	7	167	305670	0

-628	848	7	848	305742	0
-637	58	16	67	305751	0

-623	281	12	277	305256	0
-592	531	9	528	305472	0
-582	43	14	48	305526	0
-595	54	4	44	305661	0
-635	61	14	71	307362	0

-627	341	13	340	308460	0
-604	56	0	43	308631	0
-579	158	5	163	309486	0
-590	23	6	24	309612	0
-584	305	0	299	344244	0
-590	294	9	303	337458	0

-619	105	15	111	336558	0
-609	110	4	99	336504	0
-604	71	0	67	336594	0
-618	53	11	64	335946	0
-632	52	6	47	335613	0
-610	57	17	68	335856	0
-589	54	7	44	335586	0
-617	372	9	374	336837	0
-594	55	22	68	336936	0

-607	254	8	240	334353	0
-628	249	12	253	334533	0
-603	289	13	290	336135	0

-582	588	18	593	336882	0
-623	191	12	185	337395	0
-596	228	16	232	335415	0
-589	41	24	49	336297	0
-595	60	8	44	335037	0
-589	106	11	109	336963	0
-608	48	12	49	337359	0

-572	70	4	62	337098	0
-565	40	8	44	337125	0
-625	106	14	112	336009	0
-620	339	14	339	336126	0
-623	197	5	188	336009	0
-613	110	9	114	334236	0

-626	287	16	294	337989	0
-606	152	4	140	337206	0
-608	299	6	301	349815	0
-621	153	15	162	348780	0
-603	151	17	153	346692	0

-613	324	18	325	292881	0
-605	242	4	228	293241	0
-607	97	22	115	292269	0
-627	47	0	25	290865	0
-622	138	22	160	288696	0
-605	50	22	50	289848	0
-619	154	13	145	292161	0

-611	307	12	306	296814	0
-603	541	22	551	313347	0
-594	209	23	210	316479	0

-608	53	14	44	310512	0
-610	199	17	202	304824	0
-631	112	17	112	327261	0
-602	61	9	53	328161	0
-611	91	6	88	327648	0
-594	152	17	163	326460	0
-636	323	12	318	321645	0

-581	156	22	166	321438	0
-588	60	9	47	320808	0
-597	258	22	271	321726	0
-603	293	20	291	319665	0
-633	103	8	91	322437	0

-597	270	12	274	322500	0
-573	57	22	67	322329	0
-572	35	9	22	322068	0
-602	202	10	203	321987	0
-589	381	8	379	322941	0
-574	48	4	44	322734	0

-483	724	16	736	322500	0
-549	67	17	68	322392	0
-613	104	3	90	320115	0
-612	100	14	111	322527	0
-618	61	20	67	323130	0
-635	50	16	46	323427	0

-605	197	20	201	324111	0
-599	39	4	23	324687	0
-574	57	14	67	324687	0
-571	37	22	45	325128	0
-590	247	17	242	325011	0
-587	103	8	94	325146	0
-633	54	0	46	322527	0
-604	64	4	68	323373	0
-580	57	19	72	323481	0
-578	34	10	25	322995	0
-591	154	11	155	319377	0

-602	156	9	154	319755	0
-612	56	20	67	322626	0
-617	162	14	156	323220	0
-596	55	5	46	322779	0
-616	246	13	254	315921	0
-604	145	4	136	295176	0
-611	194	11	201	298974	0
-591	53	4	46	299613	0

-583	108	8	112	315354	0
-583	33	16	41	314778	0
-631	52	7	43	310341	0
-600	298	21	312	305337	0
-601	65	21	65	311286	0
-606	62	10	51	323679	0
-573	67	12	69	332886	0
-580	259	5	252	369120	0

-616	165	16	176	369165	0
-588	161	8	153	356196	0
-588	266	20	278	338592	0
-634	187	0	167	329133	0
-618	151	6	157	329844	0

-44	706	4	704	331131	0
-393	52	22	70	328791	0
-426	34	11	23	321573	0
-547	44	13	46	318621	0
-477	37	26	50	318081	0
-611	100	10	84	328404	0

-585	159	14	163	330195	0
-583	35	5	26	331158	0
-557	60	13	68	330456	0
-559	32	6	25	331212	0
-552	40	15	49	331122	0
-594	158	23	166	327018	0
-40590	70	18	65	317730	0
-40599	24	17	23	313104	0
-40566	66	19	68	310062	0
-40614	52	13	46	303672	0
-40594	54	3	44	301449	0
-40587	107	13	117	296832	0
-40595	25	13	25	296985	0
-40618	110	22	119	299955	0
-40594	59	15	52	300963	0
-600	59	23	67	302637	0

-611	56	9	42	303951	0
-596	215	0	206	305301	0
-618	146	14	160	304104	0
-612	105	20	111	303150	0
-591	54	14	48	302250	0
-617	114	12	112	302025	0
-592	53	4	45	301827	0
-600	24	4	24	301503	0
-572	61	8	65	301728	0
-574	32	20	44	301719	0
-551	56	8	44	301566	0
-560	24	8	24	301710	0
-568	59	20	71	301494	0
-597	38	4	22	301521	0

-569	61	9	66	301566	0
-585	51	4	46	300846	0
-632	154	5	155	300315	0
-627	137	4	136	300414	0
-594	67	9	72	300234	0
-592	35	17	43	300540	0
-568	58	8	49	300459	0
-577	58	12	62	300333	0
-581	28	5	21	300675	0
-567	48	21	64	300387	0
-592	208	24	211	300387	0

-608	151	4	131	299586	0
-590	117	25	138	299730	0
-600	57	15	47	299469	0
-621	47	14	46	299757	0
-596	157	21	164	300306	0
-618	46	17	42	300504	0
-632	51	17	51	301017	0
-612	54	8	45	300810	0
-591	54	0	46	300927	0
-592	32	13	45	301224	0
-571	55	5	47	301332	0
-613	58	16	69	301449	0
-594	52	12	48	301089	0
-590	37	0	25	301260	0
-607	50	17	67	301008	0
-601	39	25	47	300855	0
-617	51	18	44	300720	0

-600	51	17	50	300738	0
-588	112	24	119	302043	0
-591	30	17	23	302592	0
-572	53	13	49	304527	0
-566	39	17	43	307065	0
-593	108	11	102	318954	0
-612	146	0	135	332787	0
-587	58	7	65	332274	0
-581	39	12	44	332148	0
-556	58	22	68	332778	0
-585	38	8	24	329961	0
-584	69	4	65	327900	0
-619	64	7	67	322122	0
-598	55	17	65	320502	0

-611	187	13	183	315651	0
-582	62	17	66	318054	0
-570	45	19	47	318945	0
-553	51	16	48	319539	0
-554	32	7	23	320862	0
-557	64	13	70	323130	0
-578	45	13	45	328017	0
-545	66	14	67	328881	0
-605	107	21	114	337800	0
-565	73	16	68	347790	0
-561	38	21	43	355287	0
-517	77	12	68	357708	0
-520	30	4	22	359400	0
-497	56	14	66	362118	0
-461	71	9	66	364197	0
-446	47	9	47	365214	0
-440	39	15	45	366177	0

-422	52	11	48	366987	0
-469	54	4	47	364710	0
-564	37	13	46	364080	0
-566	131	23	141	362613	0
-568	32	13	22	355431	0
-545	57	20	64	347745	0
-581	63	4	47	338952	0
-577	38	11	45	338259	0
-596	147	20	156	329997	0
-598	165	16	161	324633	0
-578	53	7	44	323841	0
-594	152	13	158	316092	0

-598	62	16	65	303591	0
-588	109	20	113	287958	0
-632	90	17	87	289101	0
-605	61	0	44	289812	0
-590	47	20	67	289434	0
-592	33	11	24	288732	0
-597	61	21	71	289353	0
-592	39	4	22	290208	0
-577	47	10	53	290334	0
-585	25	9	24	289209	0
-564	55	24	70	288579	0
-563	34	14	24	288471	0
-580	50	15	51	288723	0
-639	141	5	131	287508	0
-610	96	23	114	287985	0
-629	47	0	24	287256	0

-619	110	5	115	288516	0
-626	93	23	111	288426	0
-618	41	9	27	287859	0
-623	62	13	66	288372	0
-640	51	6	44	287553	0
-625	47	5	46	286014	0
-629	129	11	135	286779	0
-598	198	20	207	286824	0
-586	45	22	47	287031	0
-554	66	3	47	287391	0
-561	26	24	47	287742	0
-601	60	10	46	314661	0
-600	34	0	24	328458	0

-593	74	20	94	357222	0
-563	64	4	48	363180	0
-573	24	5	25	366600	0
-547	59	14	68	363315	0
-537	43	17	46	360246	0
-536	34	9	26	357258	0
-536	66	15	72	348690	0
-559	44	16	45	346926	0
-529	63	16	63	347223	0
-554	42	0	26	347088	0
-637	50	20	70	338547	0
-599	205	17	202	336441	0
-585	48	15	46	336630	0
-614	104	22	111	336396	0
-623	57	14	49	337107	0
-585	72	8	66	337017	0

-588	30	22	44	337386	0
-560	62	5	45	337854	0
-637	56	16	67	339231	0
-614	56	5	45	339375	0
-593	54	23	72	339159	0
-635	58	8	43	339006	0
-594	108	17	117	339465	0
-593	69	16	68	339312	0
-561	64	27	75	339744	0
-612	83	13	69	339915	0
-573	72	10	69	339951	0
-621	152	22	164	337773	0
-585	69	24	71	337728	0
-632	53	15	44	337665	0

-587	112	20	117	336792	0
-600	153	4	137	338583	0
-577	57	17	70	339402	0
-624	54	9	46	337980	0
-601	56	25	72	337782	0
-607	60	8	43	337368	0
-592	48	6	46	338097	0
-621	204	21	219	339303	0
-600	56	14	49	339681	0
-604	62	20	68	340851	0
-605	99	14	93	339951	0
-582	57	10	53	340401	0

-575	39	18	47	340158	0
-618	57	9	48	340779	0
-611	107	23	121	341319	0
-599	45	25	47	341229	0
-609	57	17	49	340914	0
-589	53	9	45	340896	0
-583	40	17	48	340977	0
-560	57	5	45	340968	0
-596	30	0	25	340698	0
-558	71	13	84	341103	0
-551	40	24	51	340977	0
-518	68	23	67	340689	0
-509	41	4	22	340950	0
-508	34	17	47	340977	0
-489	54	8	45	340617	0
-457	65	18	75	340671	0
-450	40	22	44	340905	0
-433	51	18	47	340572	0
-505	27	16	25	340662	0
-483	56	4	44	340392	0

-466	49	0	45	340590	0
-455	45	4	49	340320	0
-451	37	14	47	340419	0
-458	61	0	47	340761	0
-489	35	15	50	340833	0
-469	53	10	48	340617	0
-505	31	0	21	340455	0
-516	56	12	68	340509	0
-626	56	22	66	340428	0
-637	55	10	43	340482	0
-622	49	4	43	340725	0
-582	73	0	69	340140	0
-580	35	9	44	340257	0
-540	74	25	90	340527	0
-573	33	22	30	340518	0
-537	70	0	48	340608	0
-528	42	4	46	340059	0
-533	62	8	66	340401	0
-569	64	12	68	340743	0
-572	30	8	26	340455	0

-550	56	0	48	340527	0
-544	39	4	43	340410	0
-614	63	16	75	340428	0
-593	55	6	45	340455	0
-588	39	12	45	340635	0
-569	52	4	44	340599	0
-586	50	23	69	340293	0
-535	84	14	75	340509	0
-570	31	5	22	340239	0
-607	63	9	67	339951	0
-580	60	16	67	340257	0
-583	30	11	25	340239	0
-551	67	12	68	340131	0
-586	31	3	22	340239	0
-626	60	15	72	340554	0
-596	64	17	66	340329	0
-569	59	9	51	340527	0
-610	59	17	67	340266	0

-584	60	4	47	340284	0
-571	46	5	47	340140	0
-551	54	16	65	340284	0
-529	54	8	46	340365	0
-540	57	22	71	340689	0
-530	43	23	44	340293	0
-540	57	13	47	340374	0
-524	49	11	47	340329	0
-607	151	21	161	340419	0
-581	58	9	46	340131	0
-582	32	20	43	340320	0
-594	55	8	43	340356	0
-588	40	13	45	340437	0
-554	68	15	70	340320	0
-548	39	21	45	340428	0
-547	34	16	29	340356	0
-613	67	17	68	340644	0
-629	50	14	47	340419	0

-604	59	0	45	340212	0
-599	38	12	50	340041	0
-562	70	7	65	340104	0
-567	29	24	46	339240	0
-529	71	21	68	338745	0
-532	30	15	24	339105	0
-528	39	0	24	339114	0
-505	56	9	65	338889	0
-506	32	24	47	338745	0
-536	37	8	21	339006	0
-502	66	13	71	338727	0
-490	46	12	45	339042	0
-464	59	23	70	338943	0
-462	35	15	27	339096	0
-452	45	12	42	339051	0
-441	44	15	47	339033	0
-429	45	15	45	338682	0
-465	30	11	26	338997	0
-480	53	7	49	339105	0
-475	38	12	43	339609	0
-465	43	17	48	339708	0
-505	60	5	48	338214	0

-540	31	19	45	338187	0
-535	73	13	67	338475	0
-564	36	23	46	337917	0
-543	56	9	42	338583	0
-543	33	23	47	337881	0
-550	60	11	48	338187	0
-541	42	14	45	338115	0
-520	54	8	48	338016	0
-495	60	21	73	338313	0
-476	51	15	45	338241	0
-517	25	14	24	337935	0
-508	42	19	47	338016	0
-480	62	23	66	337998	0
-507	39	9	25	335865	0
-540	35	23	49	335820	0
-605	68	4	49	335991	0
-572	66	5	67	335712	0
-571	35	14	44	335883	0
-604	67	15	68	337278	0
-617	52	8	45	337800	0

-595	123	21	136	335649	0
-570	59	8	46	335181	0
-580	56	18	66	336531	0
-579	35	5	22	336675	0
-620	59	17	71	335307	0

