DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
10	9	5	12	140285	0	53728	48003
23	45	1	41	155747	0	53729	48004
35	45	1	45	175034	0	53729	48004
37	36	5	40	191540	0	53729	48004
58	54	6	55	208460	0	53728	48003
37	46	1	41	247241	0	53729	48004
77	5	1	5	227450	0	53727	48002
52	45	2	46	268355	0	53729	48004
42	22	3	23	289847	0	53728	48003
44	35	3	35	315938	0	53729	48004
62	52	3	52	332480	0	53729	48004
54	25	3	25	334946	0	53728	48003
57	36	2	35	330968	0	53729	48004
40	16	4	18	327764	0	53728	48003

50	44	5	45	338861	0	53729	48004
60	45	1	41	361217	0	53729	48004
60	32	4	35	379784	0	53728	48003
83	56	5	57	384653	0	53729	48004
76	27	1	23	381665	0	53727	48002
75	32	4	35	376706	0	53729	48004
71	29	4	29	373988	0	53728	48003
77	39	6	41	370460	0	53729	48004
69	26	2	22	367859	0	53728	48003
73	38	5	41	365294	0	53729	48004
63	23	5	23	364250	0	53728	48003
78	49	1	45	365771	0	53729	48004
74	28	0	27	364529	0	53728	48003
75	35	6	41	358751	0	53729	48004
70	28	6	28	335891	0	53728	48003
69	31	3	28	331850	0	53729	48004
55	23	2	22	344765	0	53728	48003
62	38	4	40	356969	0	53729	48004
57	27	6	29	364718	0	53728	48003
59	37	4	35	365330	0	53729	48004
55	28	4	28	363755	0	53728	48003
82	61	6	63	360848	0	53729	48004
69	20	3	17	358355	0	53728	48003
98	63	3	63	352091	0	53729	48004
89	24	1	22	342362	0	53728	48003
104	49	3	51	334649	0	53729	48004
97	26	6	29	323831	0	53728	48003
104	40	5	39	316847	0	53727	48002
100	30	6	31	318197	0	53729	48004

94	26	4	24	322499	0	53728	48003
85	59	1	56	336566	0	53729	48004
69	18	1	18	341480	0	53728	48003
98	61	3	63	346646	0	53729	48004
90	25	2	24	350390	0	53728	48003
80	24	6	28	354161	0	53727	48002
282	34	5	33	328898	0	53726	48001
109	28	5	28	355817	0	53729	48004
98	22	5	22	356591	0	53728	48003
89	24	5	24	356519	0	53727	48002
89	34	6	35	356555	0	53729	48004
80	25	3	22	355169	0	53728	48003
70	23	3	23	354125	0	53727	48002
71	33	4	34	351353	0	53729	48004
57	21	6	23	346592	0	53728	48003
56	32	2	28	335270	0	53729	48004
41	18	6	22	322589	0	53728	48003
42	34	5	33	310403	0	53729	48004
52	45	3	43	293141	0	53729	48004
29	11	4	12	273368	0	53728	48003
26	29	4	29	252173	0	53729	48004
57	63	6	65	231185	0	53729	48004
41	17	1	12	209180	0	53728	48003
