FPS_Client	Mbps_Client	FPS_Total	FPS_Display	Mbps_Total	UTC	Offset
 
0	0	0	11.17.46.081	-2860
0	0	0	11.17.47.086	-2860
0	0	0	11.17.48.088	-2860
0	0	0	11.17.49.090	-2860
0	0	0	11.17.50.094	-2860
0	0	0	11.17.51.098	-2860
0	0	0	11.17.52.102	-2860
0	0	0	11.17.53.104	-2860
0	0	0	11.17.54.111	-2860
0	0	0	11.17.55.112	-2860
0	0	0	11.17.56.115	-2860
0	0	0	11.17.57.120	-2860
0	0	0	11.17.58.121	-2860
0	0	0	11.17.59.122	-2860
0	0	0	11.18.00.125	-2860
0	0	0	11.18.01.128	-2860
0	0	0	11.18.02.132	-2860
0	0	0	11.18.03.133	-2860
0	0	0	11.18.04.137	-2860
0	0	0	11.18.05.144	-2860
0	0	0	11.18.06.150	-2860
0	0	0	11.18.07.152	-2860
0	0	0	11.18.08.157	-2860
1.99	6.68	1.98	0	6.68	11.18.09.166	-2860
2.99	9.82	1	3.23	1	3.23	1.99	6.46	2.99	9.77	9.94	0	32.51	11.18.10.172	-2860
7.98	26.42	2	6.52	2	6.53	2	6.52	1	3.25	14.96	0	49.24	11.18.11.175	-2860
4.98	16.6	2.99	10.04	2.99	10.03	2.99	10.03	3.98	13.37	17.91	0	60.07	11.18.12.181	-2860
0	0	4.99	16.86	4.99	16.84	3.99	13.46	3.99	13.47	17.96	0	60.63	11.18.13.185	-2860
10.97	37.14	1	3.38	1.99	6.76	1.99	6.76	1	3.38	16.92	0	57.42	11.18.14.190	-2860
17.98	61.11	0	0	0	0	0	0	0	0	17.96	0	61.11	11.18.15.193	-2860
17.95	60.84	0	0	0	0	0	0	0	0	17.93	0	60.84	11.18.16.199	-2860
2.98	10.29	3.97	13.69	3.97	13.62	3.97	13.51	4.97	17.06	19.86	0	68.17	11.18.17.207	-2860
0	0	3.99	15.06	3.99	15.01	3.99	14.97	3.99	15.1	15.95	0	60.14	11.18.18.211	-2860
0	0	3.98	15.61	4.98	19.63	3.98	15.52	3.98	15.68	16.92	0	66.44	11.18.19.218	-2860
0	0	3.97	14.6	2.98	10.72	3.97	14.9	3.97	14.41	14.87	0	54.63	11.18.20.227	-2860
